id_student,code_module,code_presentation,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result
623710,AAA,2014J,F,South East Region,A Level or Equivalent,20-30%,35-55,0,120,N,Withdrawn
628088,AAA,2014J,M,South East Region,A Level or Equivalent,70-80%,0-35,0,60,Y,Withdrawn
628312,AAA,2014J,F,South East Region,HE Qualification,80-90%,0-35,0,120,N,Withdrawn
630142,AAA,2014J,M,East Anglian Region,A Level or Equivalent,90-100%,0-35,0,120,N,Withdrawn
642878,AAA,2014J,M,South West Region,HE Qualification,70-80%,0-35,0,60,N,Withdrawn
648130,AAA,2014J,M,Yorkshire Region,A Level or Equivalent,80-90%,0-35,0,240,N,Withdrawn
676546,AAA,2014J,M,Scotland,HE Qualification,80-90%,0-35,0,120,N,Withdrawn
696578,AAA,2014J,M,South Region,HE Qualification,60-70%,0-35,0,60,N,Withdrawn
721259,AAA,2014J,F,South Region,Lower Than A Level,50-60%,55<=,1,60,N,Withdrawn
1183831,AAA,2014J,M,South West Region,HE Qualification,70-80%,55<=,0,60,N,Withdrawn
1398979,AAA,2014J,F,South Region,A Level or Equivalent,90-100%,55<=,0,60,N,Withdrawn
1456619,AAA,2014J,M,South West Region,A Level or Equivalent,90-100%,35-55,1,60,N,Withdrawn
1469279,AAA,2014J,F,East Anglian Region,HE Qualification,40-50%,35-55,0,120,N,Withdrawn
1676594,AAA,2014J,M,London Region,HE Qualification,80-90%,55<=,0,60,N,Withdrawn
1686551,AAA,2014J,F,Scotland,A Level or Equivalent,40-50%,35-55,0,60,N,Withdrawn
1689639,AAA,2014J,F,South East Region,Lower Than A Level,60-70%,35-55,0,60,N,Withdrawn
1839386,AAA,2014J,F,Yorkshire Region,Lower Than A Level,30-40%,35-55,0,60,N,Withdrawn
2158048,AAA,2014J,F,Ireland,A Level or Equivalent,40-50%,35-55,0,60,N,Withdrawn
2158196,AAA,2014J,F,South West Region,Lower Than A Level,30-40%,35-55,0,120,N,Withdrawn
2168833,AAA,2014J,M,South West Region,Lower Than A Level,50-60%,35-55,0,60,N,Withdrawn
2273119,AAA,2014J,F,West Midlands Region,A Level or Equivalent,30-40%,0-35,0,60,N,Withdrawn
2313257,AAA,2014J,M,London Region,A Level or Equivalent,30-40%,35-55,0,360,N,Withdrawn
2365101,AAA,2014J,M,South East Region,HE Qualification,20-30%,0-35,1,240,N,Withdrawn
2474849,AAA,2014J,F,Scotland,A Level or Equivalent,0-10%,35-55,1,60,N,Withdrawn
2507842,AAA,2014J,F,North Western Region,A Level or Equivalent,90-100%,35-55,0,60,N,Withdrawn
2540168,AAA,2014J,F,East Midlands Region,HE Qualification,70-80%,35-55,0,60,N,Withdrawn
2546445,AAA,2014J,M,Scotland,HE Qualification,80-90%,55<=,0,60,N,Withdrawn
2551932,AAA,2014J,M,South East Region,Lower Than A Level,50-60%,0-35,0,60,N,Withdrawn
2630087,AAA,2014J,F,East Midlands Region,Lower Than A Level,90-100%,35-55,0,210,N,Withdrawn
2690062,AAA,2014J,F,North Western Region,A Level or Equivalent,90-100%,35-55,0,120,N,Withdrawn
27891,BBB,2013B,M,Scotland,Lower Than A Level,0-10%,0-35,2,120,Y,Withdrawn
33666,BBB,2013B,F,London Region,A Level or Equivalent,10-20,0-35,1,60,N,Withdrawn
34431,BBB,2013B,F,Yorkshire Region,Lower Than A Level,70-80%,0-35,0,60,N,Withdrawn
34694,BBB,2013B,M,West Midlands Region,A Level or Equivalent,10-20,35-55,1,60,N,Withdrawn
34756,BBB,2013B,F,East Midlands Region,Lower Than A Level,10-20,0-35,1,150,N,Withdrawn
52899,BBB,2013B,F,East Midlands Region,Lower Than A Level,50-60%,35-55,0,60,N,Withdrawn
72070,BBB,2013B,M,South East Region,A Level or Equivalent,60-70%,35-55,0,60,N,Withdrawn
86291,BBB,2013B,F,Wales,HE Qualification,50-60%,35-55,0,60,N,Withdrawn
87604,BBB,2013B,F,West Midlands Region,A Level or Equivalent,30-40%,0-35,0,180,N,Withdrawn
88580,BBB,2013B,F,London Region,Lower Than A Level,10-20,0-35,0,60,N,Withdrawn
92274,BBB,2013B,F,East Anglian Region,Lower Than A Level,60-70%,0-35,0,60,N,Withdrawn
96291,BBB,2013B,F,South Region,Lower Than A Level,70-80%,0-35,0,60,N,Withdrawn
102849,BBB,2013B,F,East Anglian Region,A Level or Equivalent,20-30%,35-55,0,180,N,Withdrawn
123379,BBB,2013B,F,East Midlands Region,A Level or Equivalent,70-80%,0-35,1,180,N,Withdrawn
127209,BBB,2013B,F,Scotland,A Level or Equivalent,40-50%,0-35,1,180,Y,Withdrawn
128776,BBB,2013B,F,Yorkshire Region,Lower Than A Level,40-50%,35-55,1,120,N,Withdrawn
141823,BBB,2013B,F,East Midlands Region,A Level or Equivalent,0-10%,0-35,0,120,N,Withdrawn
143854,BBB,2013B,F,West Midlands Region,Lower Than A Level,10-20,35-55,0,60,N,Withdrawn
152153,BBB,2013B,F,East Anglian Region,Lower Than A Level,40-50%,0-35,1,60,N,Withdrawn
153704,BBB,2013B,F,West Midlands Region,Lower Than A Level,0-10%,0-35,1,120,N,Withdrawn
155735,BBB,2013B,F,West Midlands Region,Lower Than A Level,0-10%,0-35,1,60,N,Withdrawn
169515,BBB,2013B,F,East Anglian Region,A Level or Equivalent,30-40%,0-35,0,60,N,Withdrawn
170356,BBB,2013B,F,East Anglian Region,Lower Than A Level,20-30%,35-55,0,120,N,Withdrawn
174321,BBB,2013B,F,Ireland,A Level or Equivalent,80-90%,0-35,1,270,N,Withdrawn
177639,BBB,2013B,F,Wales,Lower Than A Level,10-20,0-35,1,150,N,Withdrawn
179605,BBB,2013B,F,South West Region,A Level or Equivalent,60-70%,0-35,0,60,N,Withdrawn
185240,BBB,2013B,F,West Midlands Region,Lower Than A Level,40-50%,35-55,1,120,N,Withdrawn
186780,BBB,2013B,F,North Western Region,A Level or Equivalent,10-20,35-55,2,120,Y,Withdrawn
200863,BBB,2013B,F,South West Region,A Level or Equivalent,40-50%,0-35,1,60,N,Withdrawn
228049,BBB,2013B,F,South Region,Lower Than A Level,60-70%,35-55,0,60,N,Withdrawn
228235,BBB,2013B,F,Yorkshire Region,A Level or Equivalent,30-40%,35-55,1,120,N,Withdrawn
230348,BBB,2013B,F,East Anglian Region,A Level or Equivalent,0-10%,0-35,2,585,N,Withdrawn
232600,BBB,2013B,F,North Western Region,Lower Than A Level,10-20,0-35,2,60,N,Withdrawn
232745,BBB,2013B,F,West Midlands Region,Lower Than A Level,0-10%,0-35,0,180,Y,Withdrawn
242149,BBB,2013B,F,North Western Region,Lower Than A Level,0-10%,0-35,0,180,N,Withdrawn
252652,BBB,2013B,F,London Region,A Level or Equivalent,50-60%,35-55,0,120,N,Withdrawn
253250,BBB,2013B,F,North Region,A Level or Equivalent,40-50%,0-35,1,60,N,Withdrawn
256215,BBB,2013B,F,East Anglian Region,Lower Than A Level,50-60%,35-55,0,150,Y,Withdrawn
258402,BBB,2013B,F,South Region,A Level or Equivalent,40-50%,0-35,1,180,N,Withdrawn
259182,BBB,2013B,M,East Midlands Region,Lower Than A Level,40-50%,0-35,1,120,N,Withdrawn
262294,BBB,2013B,F,North Western Region,Lower Than A Level,0-10%,0-35,2,60,Y,Withdrawn
263531,BBB,2013B,F,South West Region,Lower Than A Level,30-40%,0-35,1,120,N,Withdrawn
265405,BBB,2013B,F,North Western Region,Lower Than A Level,80-90%,35-55,1,60,N,Withdrawn
265958,BBB,2013B,F,North Western Region,Lower Than A Level,10-20,0-35,2,120,N,Withdrawn
269076,BBB,2013B,F,Yorkshire Region,Lower Than A Level,20-30%,0-35,1,180,N,Withdrawn
269289,BBB,2013B,F,South Region,A Level or Equivalent,90-100%,0-35,2,60,N,Withdrawn
288990,BBB,2013B,M,West Midlands Region,HE Qualification,40-50%,35-55,1,60,N,Withdrawn
291701,BBB,2013B,F,South West Region,Lower Than A Level,0-10%,0-35,0,150,N,Withdrawn
292027,BBB,2013B,M,East Midlands Region,Lower Than A Level,40-50%,0-35,0,60,N,Withdrawn
294999,BBB,2013B,M,Wales,A Level or Equivalent,90-100%,0-35,0,60,N,Withdrawn
296408,BBB,2013B,F,East Midlands Region,A Level or Equivalent,20-30%,35-55,3,180,Y,Withdrawn
299561,BBB,2013B,F,South Region,A Level or Equivalent,40-50%,35-55,1,60,Y,Withdrawn
302550,BBB,2013B,M,South Region,Lower Than A Level,40-50%,35-55,1,180,N,Withdrawn
305945,BBB,2013B,F,East Anglian Region,A Level or Equivalent,60-70%,0-35,0,60,N,Withdrawn
306984,BBB,2013B,M,North Region,Lower Than A Level,20-30%,35-55,3,60,N,Withdrawn
311042,BBB,2013B,F,East Anglian Region,Lower Than A Level,20-30%,0-35,3,180,N,Withdrawn
322960,BBB,2013B,F,Wales,Lower Than A Level,20-30%,0-35,0,150,N,Withdrawn
324236,BBB,2013B,F,Wales,Lower Than A Level,60-70%,35-55,0,60,N,Withdrawn
330376,BBB,2013B,F,East Midlands Region,Lower Than A Level,80-90%,0-35,2,60,N,Withdrawn
333837,BBB,2013B,F,North Western Region,Lower Than A Level,80-90%,0-35,0,105,N,Withdrawn
334794,BBB,2013B,F,South West Region,Lower Than A Level,20-30%,0-35,0,60,N,Withdrawn
338912,BBB,2013B,F,South West Region,A Level or Equivalent,20-30%,0-35,0,90,N,Withdrawn
339526,BBB,2013B,F,North Western Region,Lower Than A Level,20-30%,0-35,0,60,N,Withdrawn
339946,BBB,2013B,F,Ireland,HE Qualification,0-10%,0-35,0,60,N,Withdrawn
340378,BBB,2013B,F,Yorkshire Region,Lower Than A Level,20-30%,0-35,0,120,N,Withdrawn
340831,BBB,2013B,M,West Midlands Region,A Level or Equivalent,30-40%,35-55,0,60,N,Withdrawn
341040,BBB,2013B,M,South Region,HE Qualification,60-70%,0-35,0,60,N,Withdrawn
341235,BBB,2013B,M,South Region,Lower Than A Level,50-60%,0-35,0,60,N,Withdrawn
349040,BBB,2013B,F,North Region,HE Qualification,80-90%,35-55,0,60,N,Withdrawn
352161,BBB,2013B,F,Ireland,Lower Than A Level,20-30%,0-35,1,195,N,Withdrawn
353918,BBB,2013B,F,North Western Region,Lower Than A Level,0-10%,0-35,2,120,N,Withdrawn
354815,BBB,2013B,F,East Midlands Region,Lower Than A Level,50-60%,35-55,2,120,N,Withdrawn
354895,BBB,2013B,F,East Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,Withdrawn
355369,BBB,2013B,F,Yorkshire Region,A Level or Equivalent,80-90%,35-55,1,120,N,Withdrawn
357030,BBB,2013B,F,South West Region,Lower Than A Level,50-60%,35-55,0,60,N,Withdrawn
359170,BBB,2013B,F,Yorkshire Region,A Level or Equivalent,50-60%,0-35,0,180,N,Withdrawn
360489,BBB,2013B,F,West Midlands Region,A Level or Equivalent,0-10%,0-35,0,240,Y,Withdrawn
362877,BBB,2013B,F,Wales,Lower Than A Level,20-30%,0-35,0,60,N,Withdrawn
364323,BBB,2013B,F,Yorkshire Region,HE Qualification,70-80%,35-55,0,120,N,Withdrawn
369212,BBB,2013B,F,South West Region,A Level or Equivalent,50-60%,35-55,1,60,N,Withdrawn
372624,BBB,2013B,F,West Midlands Region,Lower Than A Level,0-10%,0-35,1,300,Y,Withdrawn
375312,BBB,2013B,F,Wales,Lower Than A Level,50-60%,35-55,1,180,N,Withdrawn
377695,BBB,2013B,F,South West Region,A Level or Equivalent,40-50%,0-35,0,180,N,Withdrawn
378721,BBB,2013B,F,Wales,Lower Than A Level,10-20,35-55,0,120,N,Withdrawn
379405,BBB,2013B,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,120,N,Withdrawn
380151,BBB,2013B,F,London Region,A Level or Equivalent,10-20,0-35,0,60,Y,Withdrawn
381722,BBB,2013B,F,West Midlands Region,A Level or Equivalent,40-50%,0-35,0,150,N,Withdrawn
383828,BBB,2013B,F,East Anglian Region,HE Qualification,80-90%,0-35,1,180,N,Withdrawn
384909,BBB,2013B,F,East Anglian Region,A Level or Equivalent,60-70%,35-55,0,120,N,Withdrawn
385034,BBB,2013B,F,East Midlands Region,A Level or Equivalent,50-60%,0-35,0,120,N,Withdrawn
387276,BBB,2013B,F,North Western Region,Lower Than A Level,50-60%,35-55,1,180,N,Withdrawn
388014,BBB,2013B,F,Yorkshire Region,A Level or Equivalent,10-20,0-35,0,60,N,Withdrawn
392281,BBB,2013B,F,North Region,A Level or Equivalent,10-20,0-35,0,120,N,Withdrawn
393327,BBB,2013B,F,East Midlands Region,A Level or Equivalent,90-100%,0-35,2,120,Y,Withdrawn
394956,BBB,2013B,F,East Anglian Region,A Level or Equivalent,60-70%,35-55,1,195,N,Withdrawn
395107,BBB,2013B,F,East Anglian Region,Lower Than A Level,70-80%,0-35,0,180,N,Withdrawn
397763,BBB,2013B,F,West Midlands Region,Lower Than A Level,0-10%,0-35,1,60,Y,Withdrawn
398949,BBB,2013B,F,Yorkshire Region,A Level or Equivalent,10-20,0-35,0,60,N,Withdrawn
398965,BBB,2013B,F,London Region,A Level or Equivalent,20-30%,0-35,1,120,Y,Withdrawn
399108,BBB,2013B,F,East Midlands Region,A Level or Equivalent,10-20,0-35,0,60,N,Withdrawn
400718,BBB,2013B,F,South Region,HE Qualification,50-60%,35-55,1,150,N,Withdrawn
402660,BBB,2013B,F,East Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,Withdrawn
403191,BBB,2013B,M,West Midlands Region,HE Qualification,20-30%,35-55,0,60,N,Withdrawn
405746,BBB,2013B,F,Ireland,Lower Than A Level,20-30%,0-35,0,90,N,Withdrawn
406416,BBB,2013B,F,South West Region,HE Qualification,20-30%,0-35,0,120,N,Withdrawn
406974,BBB,2013B,M,West Midlands Region,A Level or Equivalent,10-20,0-35,0,120,N,Withdrawn
415548,BBB,2013B,F,North Western Region,Lower Than A Level,70-80%,35-55,1,90,N,Withdrawn
418065,BBB,2013B,M,North Region,A Level or Equivalent,10-20,35-55,0,60,N,Withdrawn
422752,BBB,2013B,F,North Western Region,Lower Than A Level,30-40%,0-35,0,60,Y,Withdrawn
423317,BBB,2013B,F,East Midlands Region,Lower Than A Level,20-30%,0-35,0,60,N,Withdrawn
425817,BBB,2013B,M,East Midlands Region,Lower Than A Level,0-10%,35-55,0,120,N,Withdrawn
429158,BBB,2013B,F,South Region,Lower Than A Level,40-50%,0-35,1,120,N,Withdrawn
430160,BBB,2013B,M,Scotland,Lower Than A Level,30-40%,35-55,1,75,N,Withdrawn
431071,BBB,2013B,F,Ireland,Lower Than A Level,10-20,0-35,1,120,N,Withdrawn
432319,BBB,2013B,F,West Midlands Region,A Level or Equivalent,60-70%,0-35,2,120,N,Withdrawn
438210,BBB,2013B,F,South East Region,HE Qualification,80-90%,35-55,0,90,N,Withdrawn
438379,BBB,2013B,F,Ireland,Lower Than A Level,,35-55,2,210,N,Withdrawn
441423,BBB,2013B,F,Ireland,A Level or Equivalent,70-80%,0-35,0,120,N,Withdrawn
442143,BBB,2013B,F,South West Region,A Level or Equivalent,40-50%,0-35,0,120,N,Withdrawn
443108,BBB,2013B,F,East Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,N,Withdrawn
446247,BBB,2013B,F,Scotland,HE Qualification,40-50%,0-35,1,60,N,Withdrawn
446357,BBB,2013B,F,West Midlands Region,Lower Than A Level,0-10%,0-35,0,60,N,Withdrawn
447007,BBB,2013B,F,Scotland,Lower Than A Level,20-30%,0-35,0,150,N,Withdrawn
447790,BBB,2013B,F,North Western Region,Lower Than A Level,0-10%,0-35,1,60,N,Withdrawn
465730,BBB,2013B,F,Wales,A Level or Equivalent,30-40%,0-35,1,120,N,Withdrawn
466800,BBB,2013B,F,Scotland,Lower Than A Level,60-70%,0-35,1,60,N,Withdrawn
467835,BBB,2013B,F,London Region,Lower Than A Level,40-50%,0-35,0,60,N,Withdrawn
468792,BBB,2013B,F,Wales,HE Qualification,20-30%,0-35,0,120,N,Withdrawn
472182,BBB,2013B,F,South East Region,A Level or Equivalent,20-30%,0-35,0,120,Y,Withdrawn
472348,BBB,2013B,F,London Region,No Formal quals,10-20,0-35,1,120,N,Withdrawn
475078,BBB,2013B,F,Ireland,Lower Than A Level,60-70%,35-55,1,120,N,Withdrawn
476037,BBB,2013B,F,South Region,Lower Than A Level,90-100%,35-55,0,60,N,Withdrawn
476297,BBB,2013B,F,Scotland,A Level or Equivalent,40-50%,35-55,1,120,N,Withdrawn
476457,BBB,2013B,F,North Region,Lower Than A Level,20-30%,0-35,1,120,N,Withdrawn
476816,BBB,2013B,F,London Region,A Level or Equivalent,10-20,0-35,1,150,N,Withdrawn
476855,BBB,2013B,F,South Region,Lower Than A Level,40-50%,0-35,1,180,N,Withdrawn
477835,BBB,2013B,F,South West Region,A Level or Equivalent,10-20,0-35,0,60,N,Withdrawn
478317,BBB,2013B,F,Scotland,Lower Than A Level,0-10%,0-35,1,120,N,Withdrawn
478718,BBB,2013B,F,East Anglian Region,Lower Than A Level,30-40%,0-35,0,60,N,Withdrawn
479267,BBB,2013B,F,South Region,Lower Than A Level,30-40%,0-35,1,120,Y,Withdrawn
480151,BBB,2013B,F,Yorkshire Region,Lower Than A Level,20-30%,0-35,0,60,N,Withdrawn
482945,BBB,2013B,M,Wales,Lower Than A Level,10-20,35-55,0,60,Y,Withdrawn
483309,BBB,2013B,M,South Region,A Level or Equivalent,70-80%,35-55,0,60,N,Withdrawn
483371,BBB,2013B,F,Scotland,HE Qualification,60-70%,35-55,0,120,N,Withdrawn
484135,BBB,2013B,F,London Region,HE Qualification,70-80%,0-35,0,60,N,Withdrawn
485352,BBB,2013B,F,East Anglian Region,A Level or Equivalent,50-60%,0-35,0,240,N,Withdrawn
486214,BBB,2013B,F,London Region,Lower Than A Level,30-40%,35-55,1,120,N,Withdrawn
486650,BBB,2013B,F,East Midlands Region,HE Qualification,70-80%,0-35,0,120,N,Withdrawn
488477,BBB,2013B,F,Scotland,A Level or Equivalent,40-50%,0-35,0,60,N,Withdrawn
488929,BBB,2013B,F,South East Region,Lower Than A Level,20-30%,0-35,0,60,Y,Withdrawn
490110,BBB,2013B,F,West Midlands Region,A Level or Equivalent,10-20,0-35,0,60,N,Withdrawn
