,id_student,code_module_x,code_presentation,final_result,activity_type,id_site,num_of_prev_attempts,studied_credits,sum
45132,2602338,AAA,2014J,Fail,subpage,877128,0,120,35
35504,2062879,AAA,2013J,Fail,resource,546986,0,60,2
20284,344282,AAA,2013J,Fail,oucontent,546668,0,60,3
41123,2470694,AAA,2014J,Fail,oucontent,546691,1,60,9
32484,1620151,AAA,2013J,Fail,resource,546948,0,60,1
40365,2436812,AAA,2014J,Fail,resource,877211,0,60,1
31803,1472925,AAA,2013J,Fail,oucontent,877031,0,60,10
15747,295741,AAA,2013J,Fail,page,779452,0,240,1
35875,2084066,AAA,2013J,Fail,oucontent,546716,0,60,4
23470,396599,AAA,2014J,Fail,oucontent,877064,0,120,13
15785,295741,AAA,2013J,Fail,subpage,546876,0,240,24
15528,294655,AAA,2014J,Fail,oucontent,877055,0,60,27
25124,420087,AAA,2013J,Fail,oucontent,546714,0,60,13
11829,241729,AAA,2013J,Fail,forumng,546658,0,60,3
14063,281589,AAA,2013J,Fail,oucontent,546671,0,60,1
38737,2358056,AAA,2013J,Fail,oucontent,546700,0,60,12
22842,387533,AAA,2014J,Fail,oucontent,877071,0,60,1
6323,146188,AAA,2013J,Fail,subpage,546879,0,60,31
44439,2595841,AAA,2014J,Fail,forumng,877023,0,60,8
31411,1414443,AAA,2013J,Fail,subpage,546873,0,120,1
41177,2470694,AAA,2014J,Fail,resource,546954,1,60,3
35870,2084066,AAA,2013J,Fail,oucontent,546694,0,60,47
18422,329659,AAA,2014J,Fail,forumng,877025,0,60,8
37023,2164705,AAA,2013J,Fail,oucontent,546719,0,120,7
35655,2073016,AAA,2014J,Fail,oucollaborate,547067,1,60,3
31833,1472925,AAA,2013J,Fail,resource,877237,0,60,4
38575,2342426,AAA,2013J,Fail,oucontent,546667,0,60,18
22866,387533,AAA,2014J,Fail,resource,877234,0,60,1
23293,392756,AAA,2013J,Fail,oucontent,546723,0,120,3
37022,2164705,AAA,2013J,Fail,oucontent,546714,0,120,5
16606,305152,AAA,2013J,Fail,resource,547009,0,60,1
44475,2595841,AAA,2014J,Fail,oucontent,877084,0,60,1
18428,329659,AAA,2014J,Fail,oucontent,877033,0,60,6
35432,2062879,AAA,2013J,Fail,forumng,546645,0,60,16
9317,185439,AAA,2013J,Fail,oucontent,546738,0,120,1
25097,420087,AAA,2013J,Fail,forumng,546652,0,60,1
6297,146188,AAA,2013J,Fail,oucontent,546688,0,60,1
40930,2469673,AAA,2013J,Fail,oucontent,546723,0,60,5
19289,334441,AAA,2014J,Fail,subpage,877134,0,60,3
45200,2606802,AAA,2014J,Fail,oucontent,877062,0,60,10
32464,1620151,AAA,2013J,Fail,oucontent,546688,0,60,16
6422,147756,AAA,2013J,Fail,oucontent,877073,0,120,12
15567,294655,AAA,2014J,Fail,resource,877237,0,60,5
40849,2461190,AAA,2013J,Fail,oucontent,546688,0,60,5
31421,1414443,AAA,2013J,Fail,url,546903,0,120,3
43902,2574990,AAA,2014J,Fail,oucontent,877076,0,60,21
9324,185439,AAA,2013J,Fail,resource,547011,0,120,1
17276,311659,AAA,2014J,Fail,oucontent,877076,0,120,7
40852,2461190,AAA,2013J,Fail,oucontent,546702,0,60,16
43920,2574990,AAA,2014J,Fail,resource,877231,0,60,1
13308,268073,AAA,2013J,Fail,oucontent,546681,0,90,27
46783,2676809,AAA,2013J,Fail,subpage,546876,0,150,6
31775,1472925,AAA,2013J,Fail,oucontent,546667,0,60,11
35440,2062879,AAA,2013J,Fail,forumng,546655,0,60,90
39835,2404408,AAA,2014J,Fail,oucontent,877079,0,60,37
19719,341872,AAA,2013J,Fail,resource,546972,0,180,2
45377,2624961,AAA,2014J,Fail,forumng,877012,0,60,28
40893,2469673,AAA,2013J,Fail,forumng,546644,0,60,4
9302,185439,AAA,2013J,Fail,oucontent,546662,0,120,44
47548,2694788,AAA,2014J,Fail,forumng,877025,0,180,4
16021,298034,AAA,2014J,Fail,oucontent,877074,0,120,22
35295,2045084,AAA,2014J,Fail,oucontent,877079,0,120,30
15587,295060,AAA,2014J,Fail,oucontent,877065,0,60,1
13302,268073,AAA,2013J,Fail,oucontent,546674,0,90,9
35856,2084066,AAA,2013J,Fail,oucontent,546669,0,60,64
35303,2045084,AAA,2014J,Fail,resource,877224,0,120,6
38629,2342426,AAA,2013J,Fail,resource,547013,0,60,3
13336,268073,AAA,2013J,Fail,oucontent,546716,0,90,3
13384,268733,AAA,2014J,Fail,homepage,877030,1,120,3
15752,295741,AAA,2013J,Fail,quiz,779263,0,240,101
13334,268073,AAA,2013J,Fail,oucontent,546713,0,90,37
26562,494424,AAA,2013J,Fail,oucontent,546668,0,60,1
20283,344282,AAA,2013J,Fail,oucontent,546667,0,60,11
23841,398552,AAA,2013J,Fail,url,546903,0,240,1
16041,298034,AAA,2014J,Fail,resource,877211,0,120,1
35506,2062879,AAA,2013J,Fail,resource,547009,0,60,1
38718,2358056,AAA,2013J,Fail,oucontent,546667,0,60,63
35644,2073016,AAA,2014J,Fail,forumng,546654,1,60,7
45198,2606802,AAA,2014J,Fail,oucontent,877059,0,60,6
45391,2624961,AAA,2014J,Fail,oucontent,877053,0,60,14
27139,537081,AAA,2014J,Fail,forumng,877012,0,120,92
9289,185350,AAA,2014J,Fail,resource,877231,0,60,1
31261,1401935,AAA,2013J,Fail,resource,547013,0,60,1
28193,593987,AAA,2014J,Fail,dataplus,877421,0,180,4
45382,2624961,AAA,2014J,Fail,oucollaborate,877380,0,60,1
38795,2358056,AAA,2013J,Fail,url,546883,0,60,6
6396,147756,AAA,2013J,Fail,oucontent,546736,0,120,2
15592,295060,AAA,2014J,Fail,oucontent,877085,0,60,1
44440,2595841,AAA,2014J,Fail,forumng,877025,0,60,36
31344,1414443,AAA,2013J,Fail,glossary,546660,0,120,7
31810,1472925,AAA,2013J,Fail,oucontent,877045,0,60,3
23778,398552,AAA,2013J,Fail,oucontent,546672,0,240,1
10679,227517,AAA,2013J,Fail,oucontent,546732,0,180,40
12000,243510,AAA,2014J,Fail,oucontent,877078,0,60,1
40876,2461190,AAA,2013J,Fail,url,546883,0,60,43
39847,2404408,AAA,2014J,Fail,subpage,877132,0,60,1
11848,241729,AAA,2013J,Fail,oucontent,546686,0,60,25
10652,227517,AAA,2013J,Fail,oucontent,546667,0,180,29
44473,2595841,AAA,2014J,Fail,oucontent,877080,0,60,3
31838,1472925,AAA,2013J,Fail,subpage,877128,0,60,26
38655,2344901,AAA,2013J,Fail,oucontent,546694,0,60,13
1850,65002,AAA,2014J,Fail,oucontent,546732,1,60,3
23265,392756,AAA,2013J,Fail,forumng,546651,0,120,8
6462,147756,AAA,2013J,Fail,url,546900,0,120,2
6319,146188,AAA,2013J,Fail,resource,547020,0,60,1
40855,2461190,AAA,2013J,Fail,oucontent,546723,0,60,14
2104,74372,AAA,2013J,Fail,homepage,546614,0,150,34
44477,2595841,AAA,2014J,Fail,oucontent,877088,0,60,2
28247,593987,AAA,2014J,Fail,oucontent,877094,0,180,34
31822,1472925,AAA,2013J,Fail,oucontent,877086,0,60,7
23543,396655,AAA,2014J,Fail,subpage,877134,0,180,3
16604,305152,AAA,2013J,Fail,oucontent,546719,0,60,2
23834,398552,AAA,2013J,Fail,resource,547017,0,240,1
10640,227517,AAA,2013J,Fail,forumng,546652,0,180,27
8854,175991,AAA,2013J,Fail,oucontent,546667,0,180,30
15733,295741,AAA,2013J,Fail,oucontent,779385,0,240,20
35717,2073016,AAA,2014J,Fail,url,877399,1,60,4
23302,392756,AAA,2013J,Fail,resource,547009,0,120,1
3792,111512,AAA,2014J,Fail,resource,877236,0,60,12
35503,2062879,AAA,2013J,Fail,resource,546983,0,60,1
41119,2470694,AAA,2014J,Fail,oucontent,546686,1,60,1
6372,147756,AAA,2013J,Fail,oucontent,546667,0,120,14
43887,2574990,AAA,2014J,Fail,oucontent,877038,0,60,2
15598,295060,AAA,2014J,Fail,resource,877152,0,60,14
31345,1414443,AAA,2013J,Fail,homepage,546614,0,120,406
15745,295741,AAA,2013J,Fail,ouwiki,779447,0,240,8
41130,2470694,AAA,2014J,Fail,oucontent,546699,1,60,6
38787,2358056,AAA,2013J,Fail,resource,547036,0,60,3
38792,2358056,AAA,2013J,Fail,subpage,546874,0,60,1
23764,398552,AAA,2013J,Fail,forumng,546655,0,240,12
41117,2470694,AAA,2014J,Fail,oucontent,546684,1,60,4
35457,2062879,AAA,2013J,Fail,oucontent,546680,0,60,18
38777,2358056,AAA,2013J,Fail,resource,547005,0,60,1
14058,281589,AAA,2013J,Fail,homepage,546614,0,60,16
15802,295741,AAA,2013J,Fail,subpage,779647,0,240,3
41081,2470694,AAA,2014J,Fail,forumng,546645,1,60,39
22829,387533,AAA,2014J,Fail,oucontent,877044,0,60,34
41199,2470694,AAA,2014J,Fail,resource,877236,1,60,13
40343,2436812,AAA,2014J,Fail,oucontent,877040,0,60,5
15564,294655,AAA,2014J,Fail,resource,877211,0,60,1
41111,2470694,AAA,2014J,Fail,oucontent,546671,1,60,6
35869,2084066,AAA,2013J,Fail,oucontent,546692,0,60,102
13353,268073,AAA,2013J,Fail,resource,546948,0,90,2
15798,295741,AAA,2013J,Fail,subpage,779636,0,240,2
40828,2461190,AAA,2013J,Fail,forumng,546657,0,60,65
16603,305152,AAA,2013J,Fail,oucontent,546717,0,60,1
14041,281250,AAA,2013J,Fail,oucontent,546671,0,60,2
35468,2062879,AAA,2013J,Fail,oucontent,546692,0,60,52
16594,305152,AAA,2013J,Fail,homepage,546614,0,60,40
43984,2576122,AAA,2014J,Fail,subpage,546876,1,60,8
45371,2620584,AAA,2013J,Fail,resource,546986,0,60,1
31756,1472925,AAA,2013J,Fail,forumng,546647,0,60,1
28255,593987,AAA,2014J,Fail,resource,877228,0,180,3
21160,364177,AAA,2013J,Fail,oucontent,546671,0,60,4
41126,2470694,AAA,2014J,Fail,oucontent,546694,1,60,30
35453,2062879,AAA,2013J,Fail,oucontent,546675,0,60,5
38632,2342426,AAA,2013J,Fail,subpage,546874,0,60,3
18420,329659,AAA,2014J,Fail,forumng,877015,0,60,29
21169,364177,AAA,2013J,Fail,oucontent,546686,0,60,8
2099,74372,AAA,2013J,Fail,forumng,546651,0,150,4
38624,2342426,AAA,2013J,Fail,resource,546911,0,60,4
37423,2207874,AAA,2014J,Fail,resource,877142,0,120,1
28948,677281,AAA,2014J,Fail,oucontent,877043,0,60,3
15569,294655,AAA,2014J,Fail,subpage,877128,0,60,86
31371,1414443,AAA,2013J,Fail,oucontent,546691,0,120,30
38786,2358056,AAA,2013J,Fail,resource,547035,0,60,3
20600,346843,AAA,2013J,Fail,subpage,546876,0,120,5
20943,354170,AAA,2014J,Fail,forumng,877015,0,60,40
5713,139033,AAA,2014J,Fail,forumng,877012,0,60,44
19708,341872,AAA,2013J,Fail,forumng,546659,0,180,2
20288,344282,AAA,2013J,Fail,oucontent,546681,0,60,1
28249,593987,AAA,2014J,Fail,resource,877142,0,180,1
43963,2576122,AAA,2014J,Fail,forumng,546657,1,60,3
46763,2676809,AAA,2013J,Fail,homepage,546614,0,150,74
1846,65002,AAA,2014J,Fail,oucontent,546681,1,60,8
40221,2429854,AAA,2014J,Fail,oucontent,546669,1,60,62
38771,2358056,AAA,2013J,Fail,resource,546984,0,60,1
27078,527801,AAA,2014J,Fail,oucontent,877038,0,120,4
40940,2469673,AAA,2013J,Fail,subpage,546879,0,60,45
38606,2342426,AAA,2013J,Fail,oucontent,546709,0,60,9
39845,2404408,AAA,2014J,Fail,resource,877237,0,60,1
11833,241729,AAA,2013J,Fail,oucontent,546664,0,60,26
40358,2436812,AAA,2014J,Fail,oucontent,877086,0,60,7
13393,268733,AAA,2014J,Fail,oucontent,546732,1,120,38
3789,111512,AAA,2014J,Fail,resource,877211,0,60,2
6321,146188,AAA,2013J,Fail,subpage,546874,0,60,1
39828,2404408,AAA,2014J,Fail,oucontent,877053,0,60,30
15740,295741,AAA,2013J,Fail,oucontent,779431,0,240,6
22870,387533,AAA,2014J,Fail,subpage,877134,0,60,8
23488,396599,AAA,2014J,Fail,resource,877211,0,120,2
6386,147756,AAA,2013J,Fail,oucontent,546694,0,120,2
15585,295060,AAA,2014J,Fail,oucontent,877061,0,60,2
15723,295741,AAA,2013J,Fail,oucontent,779349,0,240,67
25088,418731,AAA,2014J,Fail,resource,1010323,0,90,2
35494,2062879,AAA,2013J,Fail,oucontent,546733,0,60,19
31370,1414443,AAA,2013J,Fail,oucontent,546689,0,120,2
27177,537081,AAA,2014J,Fail,subpage,877134,0,120,6
31336,1414443,AAA,2013J,Fail,forumng,546652,0,120,21
6454,147756,AAA,2013J,Fail,resource,1010323,0,120,2
22858,387533,AAA,2014J,Fail,oucontent,877092,0,60,2
38708,2358056,AAA,2013J,Fail,forumng,546645,0,60,3
40900,2469673,AAA,2013J,Fail,forumng,546654,0,60,30
41096,2470694,AAA,2014J,Fail,forumng,877015,1,60,111
38609,2342426,AAA,2013J,Fail,oucontent,546713,0,60,78
16254,302302,AAA,2013J,Fail,forumng,546654,0,60,7
15814,295741,AAA,2013J,Fail,url,546883,0,240,17
21546,368824,AAA,2013J,Fail,oucontent,546671,0,120,4
43882,2574990,AAA,2014J,Fail,glossary,877029,0,60,1
25065,415969,AAA,2014J,Fail,subpage,546873,1,60,3
10637,227517,AAA,2013J,Fail,forumng,546649,0,180,2
15682,295741,AAA,2013J,Fail,forumng,546655,0,240,8
43976,2576122,AAA,2014J,Fail,oucontent,546723,1,60,11
38588,2342426,AAA,2013J,Fail,oucontent,546685,0,60,6
22876,387533,AAA,2014J,Fail,url,877404,0,60,1
38653,2344901,AAA,2013J,Fail,oucontent,546691,0,60,10
11998,243510,AAA,2014J,Fail,oucontent,877074,0,60,4
28242,593987,AAA,2014J,Fail,oucontent,877087,0,180,10
9292,185350,AAA,2014J,Fail,subpage,877128,0,60,28
6359,147756,AAA,2013J,Fail,forumng,546657,0,120,59
26561,494424,AAA,2013J,Fail,oucontent,546667,0,60,3
45134,2602338,AAA,2014J,Fail,subpage,877134,0,120,29
18443,329659,AAA,2014J,Fail,oucontent,877058,0,60,5
12009,243510,AAA,2014J,Fail,resource,877223,0,60,1
22907,388147,AAA,2014J,Fail,oucontent,877043,0,300,3
6389,147756,AAA,2013J,Fail,oucontent,546713,0,120,3
15605,295060,AAA,2014J,Fail,subpage,877128,0,60,57
15995,298034,AAA,2014J,Fail,oucontent,877035,0,120,66
23760,398552,AAA,2013J,Fail,forumng,546648,0,240,1
21174,364177,AAA,2013J,Fail,oucontent,546696,0,60,9
16044,298034,AAA,2014J,Fail,resource,877237,0,120,2
11890,241729,AAA,2013J,Fail,subpage,546879,0,60,56
43908,2574990,AAA,2014J,Fail,oucontent,877085,0,60,32
16261,302302,AAA,2013J,Fail,oucontent,546667,0,60,34
16019,298034,AAA,2014J,Fail,oucontent,877071,0,120,2
11885,241729,AAA,2013J,Fail,resource,547013,0,60,2
45364,2620584,AAA,2013J,Fail,oucontent,546669,0,60,7
28267,593987,AAA,2014J,Fail,url,877381,0,180,2
39842,2404408,AAA,2014J,Fail,resource,877211,0,60,3
13702,277123,AAA,2014J,Fail,oucontent,877037,0,60,19
31801,1472925,AAA,2013J,Fail,oucontent,546733,0,60,9
10523,205719,AAA,2013J,Fail,oucontent,546670,0,90,1
38639,2344901,AAA,2013J,Fail,oucontent,546662,0,60,5
33750,1818673,AAA,2014J,Fail,oucontent,877040,0,120,2
35297,2045084,AAA,2014J,Fail,oucontent,877085,0,120,16
15584,295060,AAA,2014J,Fail,oucontent,877053,0,60,16
44470,2595841,AAA,2014J,Fail,oucontent,877076,0,60,10
25084,418731,AAA,2014J,Fail,resource,877152,0,90,1
20599,346843,AAA,2013J,Fail,subpage,546874,0,120,1
13333,268073,AAA,2013J,Fail,oucontent,546712,0,90,3
45108,2602338,AAA,2014J,Fail,oucontent,877045,0,120,10
15596,295060,AAA,2014J,Fail,resource,877142,0,60,19
6435,147756,AAA,2013J,Fail,oucontent,877095,0,120,2
18468,329659,AAA,2014J,Fail,resource,877231,0,60,3
46659,2669816,AAA,2013J,Fail,subpage,546871,0,60,12
10684,227517,AAA,2013J,Fail,oucontent,546738,0,180,9
19222,334259,AAA,2013J,Fail,forumng,546657,0,150,38
21548,368824,AAA,2013J,Fail,oucontent,546681,0,120,1
28214,593987,AAA,2014J,Fail,oucontent,877044,0,180,37
10654,227517,AAA,2013J,Fail,oucontent,546669,0,180,57
22938,388147,AAA,2014J,Fail,url,877404,0,300,2
13392,268733,AAA,2014J,Fail,oucontent,546719,1,120,9
13279,268073,AAA,2013J,Fail,dataplus,547048,0,90,8
12013,243510,AAA,2014J,Fail,resource,1010323,0,60,2
45109,2602338,AAA,2014J,Fail,oucontent,877051,0,120,38
31357,1414443,AAA,2013J,Fail,oucontent,546674,0,120,20
10646,227517,AAA,2013J,Fail,forumng,546659,0,180,22
18452,329659,AAA,2014J,Fail,oucontent,877081,0,60,19
35505,2062879,AAA,2013J,Fail,resource,547001,0,60,1
46660,2669816,AAA,2013J,Fail,subpage,546873,0,60,1
40215,2429854,AAA,2014J,Fail,forumng,877025,1,60,39
43923,2574990,AAA,2014J,Fail,resource,877266,0,60,1
44461,2595841,AAA,2014J,Fail,oucontent,877062,0,60,2
38707,2358056,AAA,2013J,Fail,forumng,546644,0,60,62
47553,2694788,AAA,2014J,Fail,oucontent,877066,0,180,4
5748,139033,AAA,2014J,Fail,oucontent,877076,0,60,8
21544,368824,AAA,2013J,Fail,oucontent,546664,0,120,1
25004,415969,AAA,2014J,Fail,forumng,546652,1,60,79
38776,2358056,AAA,2013J,Fail,resource,547004,0,60,1
45370,2620584,AAA,2013J,Fail,resource,546961,0,60,2
10677,227517,AAA,2013J,Fail,oucontent,546725,0,180,9
39855,2411661,AAA,2013J,Fail,forumng,546656,0,120,16
45215,2606802,AAA,2014J,Fail,resource,877156,0,60,1
6448,147756,AAA,2013J,Fail,resource,877228,0,120,2
38719,2358056,AAA,2013J,Fail,oucontent,546668,0,60,10
45127,2602338,AAA,2014J,Fail,oucontent,877094,0,120,41
25086,418731,AAA,2014J,Fail,resource,877231,0,90,1
31785,1472925,AAA,2013J,Fail,oucontent,546686,0,60,22
23275,392756,AAA,2013J,Fail,oucontent,546668,0,120,1
13285,268073,AAA,2013J,Fail,forumng,546650,0,90,29
31837,1472925,AAA,2013J,Fail,subpage,546879,0,60,26
13295,268073,AAA,2013J,Fail,homepage,546614,0,90,585
5729,139033,AAA,2014J,Fail,oucontent,877043,0,60,10
27890,581129,AAA,2013J,Fail,oucontent,546700,0,120,22
35703,2073016,AAA,2014J,Fail,resource,877145,1,60,1
27152,537081,AAA,2014J,Fail,oucontent,877066,0,120,11
15702,295741,AAA,2013J,Fail,oucontent,546682,0,240,6
6014,141506,AAA,2014J,Fail,resource,877237,0,60,1
27175,537081,AAA,2014J,Fail,subpage,877128,0,120,56
31367,1414443,AAA,2013J,Fail,oucontent,546686,0,120,13
