,score,score,score
35812,71.0,71.0,71.0
35860,73.0,89.0,83.0
36347,54.0,84.0,67.45454545454545
36385,64.0,84.0,70.6
37298,74.0,93.0,84.18181818181819
37622,62.0,100.0,81.9
37652,94.0,100.0,98.0
38053,50.0,79.0,68.0
38234,64.0,100.0,77.71428571428571
38711,1.0,54.0,38.75
38941,77.0,77.0,77.0
39208,69.0,100.0,77.4
39411,70.0,70.0,70.0
39427,84.0,84.0,84.0
39655,60.0,100.0,83.0909090909091
39660,11.0,85.0,64.5
39882,65.0,90.0,78.45454545454545
40184,85.0,100.0,93.71428571428571
40419,53.0,86.0,71.55555555555556
40563,49.0,97.0,71.14285714285714
40604,37.0,90.0,68.28571428571429
40857,86.0,86.0,86.0
40878,76.0,97.0,90.58333333333333
41060,56.0,97.0,82.81818181818181
41414,40.0,100.0,80.0
41547,25.0,100.0,61.6
42552,57.0,84.0,71.0
42616,67.0,89.0,80.25
42638,50.0,86.0,72.38461538461539
42668,67.0,94.0,78.66666666666667
42746,89.0,100.0,94.57142857142857
42818,39.0,39.0,39.0
43273,59.0,90.0,76.0
43284,45.0,89.0,71.44444444444444
43430,74.0,100.0,86.58333333333333
43564,85.0,98.0,92.75
43958,7.0,98.0,83.63636363636364
45423,40.0,75.0,63.333333333333336
45462,62.0,75.0,68.0
45642,72.0,73.0,72.4
45664,0.0,69.0,51.5625
46016,65.0,65.0,65.0
46148,76.0,94.0,84.75
46605,88.0,98.0,93.55555555555556
46705,35.0,100.0,83.71428571428571
46753,24.0,80.0,58.5
46812,55.0,55.0,55.0
46844,56.0,73.0,64.8
47061,58.0,91.0,70.5
47063,29.0,87.0,49.25
47855,20.0,80.0,45.90909090909091
47861,20.0,72.0,53.333333333333336
47891,40.0,100.0,65.66666666666667
47924,38.0,44.0,41.0
48040,56.0,100.0,77.27272727272727
48152,43.0,62.0,52.166666666666664
48503,60.0,100.0,76.8
48635,69.0,98.0,86.46153846153847
49119,50.0,100.0,84.9090909090909
49123,69.0,100.0,85.11111111111111
50069,67.0,100.0,84.83333333333333
50263,20.0,100.0,76.64285714285714
50476,84.0,95.0,87.66666666666667
50487,70.0,97.0,81.08333333333333
50610,84.0,90.0,87.33333333333333
50993,5.0,80.0,46.22222222222222
51030,72.0,87.0,80.33333333333333
51033,53.0,100.0,85.42857142857143
51153,23.0,75.0,61.714285714285715
51163,57.0,87.0,70.85714285714286
51301,93.0,93.0,93.0
51485,82.0,99.0,91.58333333333333
51576,50.0,99.0,87.0625
51955,22.0,70.0,49.714285714285715
52014,0.0,81.0,37.333333333333336
52130,68.0,75.0,71.4
52275,38.0,38.0,38.0
52426,46.0,100.0,73.0
52702,70.0,100.0,86.875
52765,52.0,70.0,63.0
52797,70.0,100.0,87.54545454545455
52899,63.0,100.0,81.8
53025,71.0,81.0,78.0
53136,59.0,89.0,74.58333333333333
53166,40.0,84.0,70.66666666666667
53197,0.0,0.0,0.0
53300,78.0,100.0,90.88888888888889
53488,51.0,100.0,82.07142857142857
53632,75.0,98.0,86.55555555555556
53709,65.0,90.0,79.0
54062,50.0,99.0,75.28571428571429
54391,39.0,50.0,44.5
54810,44.0,90.0,71.88888888888889
54867,74.0,74.0,74.0
54882,5.0,82.0,45.8
55013,38.0,72.0,53.25
55026,59.0,100.0,72.22222222222223
55104,64.0,78.0,71.0
55419,70.0,86.0,78.0
55450,63.0,88.0,74.25
55968,40.0,80.0,67.33333333333333
56637,76.0,96.0,86.75
56667,50.0,81.0,67.36363636363636
56789,41.0,100.0,76.45454545454545
57079,40.0,100.0,74.4
57227,67.0,87.0,79.0
57285,1.0,78.0,54.2
57340,60.0,81.0,70.2
57506,68.0,80.0,74.0
57818,80.0,100.0,91.57142857142857
57844,52.0,91.0,82.08333333333333
58071,61.0,87.0,76.0
58089,75.0,100.0,87.5
58316,64.0,78.0,73.4
58549,77.0,100.0,92.83333333333333
58617,18.0,58.0,40.666666666666664
58640,43.0,88.0,67.5
58653,1.0,71.0,55.2
58731,40.0,66.0,56.285714285714285
58873,68.0,78.0,73.2
58884,80.0,96.0,89.83333333333333
59185,67.0,89.0,78.6
59272,63.0,72.0,66.25
59275,40.0,67.0,52.5
59370,44.0,82.0,64.28571428571429
59541,40.0,40.0,40.0
59725,60.0,100.0,82.63636363636364
60135,19.0,86.0,57.75
60162,59.0,100.0,74.22222222222223
60405,60.0,100.0,88.66666666666667
60416,50.0,100.0,83.18181818181819
60519,68.0,79.0,72.0
60809,46.0,100.0,86.15384615384616
60830,60.0,100.0,82.1
61227,56.0,78.0,68.25
61236,56.0,56.0,56.0
61352,100.0,100.0,100.0
61911,77.0,89.0,83.33333333333333
62034,63.0,91.0,79.33333333333333
62155,70.0,85.0,76.0
62278,50.0,75.0,62.166666666666664
62487,62.0,78.0,71.6
62631,64.0,100.0,80.42857142857143
62975,65.0,100.0,86.0
63015,42.0,95.0,75.14285714285714
63044,50.0,80.0,64.0
63112,42.0,96.0,70.85714285714286
63165,47.0,57.0,51.4
63295,26.0,88.0,63.09090909090909
63371,46.0,94.0,78.88888888888889
63400,42.0,83.0,71.6
63467,1.0,84.0,62.6
63566,36.0,71.0,61.714285714285715
63721,40.0,100.0,84.0
63827,60.0,90.0,78.33333333333333
63856,27.0,75.0,52.142857142857146
63949,69.0,100.0,86.375
64275,0.0,100.0,75.1
64296,60.0,99.0,86.5
64388,42.0,78.0,64.0
64427,74.0,97.0,88.25
64450,12.0,75.0,45.714285714285715
64767,61.0,79.0,70.0
64901,20.0,100.0,71.55555555555556
65002,66.0,68.0,67.0
65656,24.0,92.0,76.16666666666667
66047,43.0,43.0,43.0
66254,48.0,90.0,72.16666666666667
66451,56.0,91.0,79.0
66577,79.0,85.0,83.0
66579,21.0,94.0,68.0
66713,68.0,87.0,76.5
66892,66.0,66.0,66.0
67182,60.0,100.0,77.22222222222223
67471,47.0,81.0,67.0
67505,38.0,91.0,64.25
67539,52.0,78.0,66.0
67602,19.0,69.0,48.0
67685,75.0,87.0,81.0
67781,65.0,90.0,75.28571428571429
67785,33.0,92.0,71.58333333333333
67986,72.0,85.0,78.5
68011,76.0,86.0,81.0
68107,80.0,95.0,88.0
68208,43.0,74.0,56.25
68376,42.0,90.0,69.83333333333333
68417,58.0,90.0,76.42857142857143
68556,20.0,75.0,57.0
69346,76.0,97.0,87.66666666666667
69439,56.0,75.0,67.66666666666667
69491,29.0,89.0,66.0
69494,0.0,62.0,12.4
69703,41.0,89.0,74.55555555555556
70011,74.0,88.0,80.2
70214,33.0,58.0,45.0
70381,40.0,92.0,75.33333333333333
70464,38.0,61.0,55.6
70495,78.0,97.0,88.23809523809524
70537,76.0,87.0,80.75
70569,1.0,76.0,55.8
70608,50.0,100.0,84.18181818181819
70771,50.0,50.0,50.0
70827,62.0,62.0,62.0
71159,44.0,79.0,64.91666666666667
71209,44.0,79.0,56.285714285714285
71252,63.0,92.0,78.33333333333333
71361,75.0,86.0,80.4
71504,72.0,100.0,83.8
71578,63.0,94.0,74.9090909090909
71676,47.0,74.0,60.0
71723,12.0,80.0,56.625
72114,56.0,100.0,80.58333333333333
72400,65.0,100.0,84.81818181818181
72609,24.0,84.0,51.0
72693,67.0,93.0,78.08333333333333
72864,58.0,96.0,79.66666666666667
73019,6.0,90.0,45.0
73489,60.0,100.0,77.72727272727273
73584,1.0,55.0,28.0
73664,10.0,40.0,25.0
73874,68.0,100.0,84.33333333333333
74113,24.0,94.0,61.666666666666664
74165,75.0,98.0,87.58333333333333
74290,10.0,10.0,10.0
74372,18.0,67.0,48.5
74502,55.0,74.0,63.0
74521,52.0,95.0,77.36363636363636
74524,86.0,86.0,86.0
74585,60.0,100.0,88.81818181818181
74695,80.0,100.0,91.8
74734,68.0,100.0,83.0
75091,65.0,67.0,66.0
75107,81.0,99.0,92.08333333333333
75255,76.0,88.0,81.8
75399,50.0,100.0,72.9
75427,47.0,80.0,66.42857142857143
75454,26.0,95.0,71.66666666666667
75728,67.0,70.0,68.5
76081,58.0,83.0,69.2
76536,58.0,77.0,66.25
76579,48.0,69.0,60.75
76949,28.0,94.0,81.77777777777777
77241,61.0,81.0,
77367,64.0,76.0,70.4
77692,71.0,98.0,87.83333333333333
77744,74.0,87.0,83.08333333333333
77746,74.0,74.0,74.0
77763,69.0,100.0,89.5
77845,50.0,78.0,68.33333333333333
77995,64.0,82.0,73.36363636363636
77998,50.0,93.0,75.66666666666667
78170,42.0,91.0,69.14285714285714
78255,63.0,100.0,78.75
78645,59.0,80.0,73.25
79261,76.0,95.0,85.0
79403,50.0,72.0,60.666666666666664
79461,11.0,56.0,33.714285714285715
79610,55.0,96.0,76.0
79683,48.0,66.0,57.0
80329,19.0,100.0,75.9375
80358,46.0,71.0,62.333333333333336
80438,22.0,100.0,86.9090909090909
80448,60.0,100.0,73.6
80491,18.0,86.0,51.8
80717,77.0,100.0,93.0
80745,60.0,92.0,80.625
80775,65.0,93.0,83.0
80868,44.0,97.0,75.16666666666667
80886,87.0,98.0,92.33333333333333
81351,0.0,94.0,66.85714285714286
81536,64.0,72.0,68.0
81754,68.0,100.0,84.0
82088,71.0,87.0,80.33333333333333
82201,62.0,68.0,65.0
82341,60.0,100.0,78.57142857142857
82535,54.0,100.0,68.45454545454545
82556,54.0,95.0,78.25
82575,80.0,100.0,93.66666666666667
82741,33.0,100.0,74.9090909090909
82817,54.0,94.0,79.88888888888889
83219,30.0,93.0,73.07692307692308
83254,40.0,100.0,73.0
83453,30.0,30.0,30.0
83553,40.0,95.0,61.666666666666664
83588,35.0,91.0,70.75
83603,50.0,91.0,78.08333333333333
84051,67.0,96.0,78.0
84245,60.0,100.0,87.1
84299,29.0,98.0,75.47058823529412
84541,1.0,67.0,34.0
84576,0.0,97.0,63.142857142857146
84604,84.0,97.0,90.66666666666667
84605,76.0,90.0,85.375
84664,69.0,100.0,89.2
84812,80.0,100.0,89.72727272727273
85092,48.0,68.0,58.0
85144,68.0,85.0,77.6
85241,48.0,48.0,48.0
85302,67.0,76.0,71.2
85325,59.0,59.0,59.0
85874,68.0,80.0,74.0
86047,0.0,75.0,50.785714285714285
86291,0.0,100.0,69.58333333333333
86538,56.0,79.0,68.66666666666667
86669,68.0,94.0,84.16666666666667
87107,40.0,83.0,68.42857142857143
87152,75.0,92.0,82.75
87264,86.0,100.0,93.75
87322,65.0,96.0,76.72727272727273
87431,42.0,58.0,50.0
87732,60.0,100.0,78.6
87929,50.0,100.0,85.0
88340,61.0,100.0,76.0
88439,73.0,91.0,86.14285714285714
88490,72.0,98.0,92.14285714285714
88568,87.0,93.0,89.75
88781,41.0,70.0,55.25
88910,20.0,76.0,52.42857142857143
89051,65.0,96.0,81.57142857142857
89092,20.0,100.0,62.54545454545455
89188,48.0,77.0,64.0
89545,77.0,92.0,84.0
89727,50.0,64.0,56.2
89778,75.0,100.0,92.27272727272727
89850,1.0,90.0,66.4
89895,58.0,93.0,79.5
89904,52.0,91.0,81.0
90243,51.0,80.0,64.27272727272727
90361,58.0,100.0,76.7
90537,52.0,76.0,66.14285714285714
90901,78.0,96.0,89.33333333333333
90979,12.0,73.0,51.75
91040,15.0,67.0,42.5
91265,57.0,75.0,70.8
91322,69.0,100.0,82.2
91354,73.0,77.0,75.0
91470,27.0,85.0,66.42857142857143
91629,68.0,92.0,76.66666666666667
91801,62.0,76.0,69.0
92274,40.0,100.0,66.4
92341,64.0,100.0,81.0
92391,28.0,69.0,50.8
92775,3.0,78.0,38.45454545454545
92832,61.0,100.0,76.1
92947,40.0,100.0,81.5
92993,60.0,100.0,76.7
94484,74.0,100.0,85.6
94616,40.0,100.0,77.44444444444444
94749,45.0,84.0,64.0
94923,34.0,78.0,61.0
94961,55.0,74.0,65.33333333333333
94964,20.0,68.0,39.666666666666664
94978,64.0,78.0,69.66666666666667
95356,20.0,69.0,47.583333333333336
95746,72.0,95.0,83.18181818181819
95755,32.0,58.0,45.0
95906,82.0,100.0,93.22222222222223
96117,55.0,100.0,76.25
96423,60.0,100.0,82.77777777777777
96475,73.0,100.0,84.85714285714286
96538,13.0,55.0,36.0
96592,56.0,93.0,81.57142857142857
96729,64.0,99.0,85.66666666666667
96864,0.0,0.0,0.0
96873,92.0,92.0,92.0
96874,67.0,92.0,76.33333333333333
97006,73.0,100.0,89.77777777777777
97154,75.0,100.0,90.7
97567,82.0,100.0,91.9090909090909
97865,66.0,100.0,77.0
97939,69.0,69.0,69.0
98094,59.0,62.0,60.6
98256,42.0,94.0,68.0
98268,40.0,100.0,73.45454545454545
98313,73.0,100.0,80.72727272727273
98452,100.0,100.0,100.0
98720,20.0,85.0,72.27272727272727
98842,45.0,100.0,59.4
99075,33.0,75.0,51.833333333333336
99088,1.0,45.0,29.666666666666668
99151,46.0,46.0,46.0
99670,83.0,100.0,91.75
99799,60.0,100.0,75.9
99993,55.0,96.0,76.18181818181819
100064,82.0,94.0,89.33333333333333
100282,78.0,78.0,78.0
100561,31.0,87.0,67.14285714285714
100788,61.0,100.0,89.3529411764706
100893,63.0,74.0,68.4
101116,75.0,90.0,82.6
101217,14.0,68.0,41.0
101279,55.0,55.0,55.0
101306,28.0,70.0,49.0
101420,77.0,98.0,90.33333333333333
101634,76.0,92.0,84.0
101781,64.0,84.0,72.6
102028,80.0,99.0,90.25
102067,100.0,100.0,100.0
102209,51.0,56.0,54.333333333333336
102221,49.0,90.0,75.42857142857143
102343,50.0,93.0,79.25
102806,60.0,86.0,78.0
102850,38.0,97.0,78.85714285714286
102854,81.0,100.0,89.41666666666667
102952,70.0,83.0,76.6
103496,48.0,100.0,63.2
103535,71.0,100.0,85.72727272727273
103800,26.0,92.0,58.142857142857146
103904,64.0,94.0,81.78571428571429
104054,85.0,100.0,94.63636363636364
104213,66.0,100.0,84.75
104316,47.0,98.0,80.5
104476,77.0,85.0,79.6
104480,59.0,98.0,88.0
104643,37.0,91.0,76.28571428571429
104772,56.0,79.0,65.14285714285714
105125,62.0,62.0,62.0
105168,78.0,89.0,86.0
105413,32.0,96.0,66.88888888888889
105523,7.0,81.0,51.38461538461539
105527,77.0,100.0,83.18181818181819
105629,80.0,94.0,87.33333333333333
105851,80.0,100.0,90.2
105883,59.0,100.0,76.72727272727273
105939,62.0,90.0,78.66666666666667
106095,1.0,89.0,59.6
106247,47.0,67.0,60.0
106553,44.0,93.0,74.57142857142857
106577,38.0,65.0,53.4
106588,78.0,100.0,90.18181818181819
106793,40.0,100.0,57.8
107028,42.0,90.0,62.625
107084,47.0,86.0,60.54545454545455
107162,73.0,95.0,86.25
107339,52.0,100.0,78.92307692307692
107455,60.0,77.0,71.8
107489,74.0,89.0,82.0
107713,98.0,100.0,99.33333333333333
107883,89.0,98.0,93.5
108118,80.0,100.0,87.875
108207,44.0,96.0,68.66666666666667
108281,83.0,97.0,90.5
108330,41.0,92.0,58.75
108377,60.0,100.0,78.6
108497,52.0,97.0,76.75
108565,63.0,63.0,63.0
108589,71.0,100.0,88.72727272727273
108760,20.0,100.0,68.66666666666667
108789,27.0,27.0,27.0
108799,69.0,100.0,88.9090909090909
108822,83.0,100.0,91.5
108834,80.0,88.0,84.0
108859,1.0,75.0,55.4
108872,53.0,70.0,61.8
108949,75.0,84.0,80.5
109155,63.0,72.0,67.8
109372,61.0,100.0,85.36363636363636
109441,1.0,92.0,70.0
109577,21.0,100.0,66.3157894736842
109772,60.0,100.0,80.55555555555556
109782,53.0,100.0,77.2
109938,80.0,100.0,89.81818181818181
110085,16.0,86.0,68.25
110116,72.0,94.0,84.16666666666667
110175,53.0,69.0,63.4
110200,32.0,70.0,49.833333333333336
110524,44.0,95.0,77.42857142857143
110529,42.0,80.0,67.25
110640,64.0,100.0,83.57142857142857
110789,34.0,78.0,56.25
110820,72.0,86.0,79.33333333333333
110881,52.0,100.0,72.91304347826087
110911,65.0,100.0,76.8
111113,18.0,44.0,33.75
111360,22.0,67.0,44.25
111548,13.0,27.0,22.5
111717,80.0,83.0,81.0
111775,77.0,98.0,88.91666666666667
111926,64.0,86.0,76.875
111942,69.0,100.0,86.81818181818181
111959,72.0,79.0,76.0
112245,58.0,97.0,78.71428571428571
112441,50.0,100.0,86.33333333333333
112454,17.0,98.0,76.11111111111111
113295,75.0,81.0,77.6
113565,71.0,91.0,83.83333333333333
113698,55.0,67.0,61.0
113702,70.0,94.0,84.66666666666667
113824,59.0,93.0,76.0
114017,66.0,76.0,71.8
114367,78.0,100.0,90.11111111111111
114402,80.0,100.0,87.6
114500,15.0,66.0,51.583333333333336
114558,56.0,81.0,69.0
114999,54.0,80.0,72.8
115373,73.0,96.0,81.75
115452,72.0,100.0,91.22222222222223
116290,84.0,84.0,84.0
116319,45.0,100.0,82.77777777777777
116518,59.0,86.0,71.11111111111111
116529,82.0,95.0,88.0
116541,50.0,76.0,62.4
116603,76.0,100.0,90.4
116606,1.0,93.0,58.0
116621,82.0,100.0,90.16666666666667
116631,68.0,68.0,68.0
116692,72.0,78.0,74.2
116763,79.0,79.0,79.0
116808,80.0,99.0,95.41666666666667
117071,46.0,100.0,73.0
117197,71.0,97.0,88.75
117232,56.0,92.0,72.9047619047619
117281,72.0,93.0,82.85714285714286
117435,53.0,89.0,66.54545454545455
117510,88.0,99.0,92.08333333333333
117544,49.0,100.0,70.2
117545,82.0,100.0,91.0
117699,80.0,100.0,87.0909090909091
117818,49.0,65.0,57.6
117939,26.0,66.0,42.57142857142857
118050,44.0,97.0,74.81818181818181
118098,0.0,56.0,35.22222222222222
118213,1.0,45.0,30.6
118474,75.0,100.0,88.875
118479,79.0,88.0,83.85714285714286
118532,80.0,97.0,86.41666666666667
118578,24.0,85.0,59.75
118668,58.0,95.0,78.83333333333333
118983,45.0,73.0,61.8
119310,33.0,94.0,74.53846153846153
119353,77.0,95.0,85.83333333333333
119444,1.0,100.0,62.25
119471,10.0,100.0,67.36363636363636
119729,10.0,10.0,10.0
119865,84.0,99.0,89.75
119898,40.0,100.0,68.81818181818181
119902,61.0,75.0,67.0
120236,22.0,67.0,44.333333333333336
120611,54.0,64.0,59.333333333333336
120994,60.0,100.0,88.33333333333333
120999,54.0,88.0,68.71428571428571
121000,30.0,41.0,35.5
121056,45.0,45.0,45.0
121163,90.0,90.0,90.0
121182,68.0,100.0,81.57142857142857
121349,65.0,88.0,76.0
121390,61.0,92.0,75.75
122337,41.0,80.0,58.5
122392,30.0,72.0,54.0
122459,50.0,100.0,69.55555555555556
122636,45.0,45.0,45.0
122739,11.0,61.0,40.6
122846,44.0,65.0,54.857142857142854
122928,42.0,100.0,74.33333333333333
123044,68.0,75.0,71.4
123053,70.0,95.0,85.8
123087,60.0,100.0,74.0
123183,76.0,100.0,88.5
123270,60.0,70.0,65.5
123462,66.0,100.0,84.6
123497,71.0,80.0,75.5
123598,40.0,100.0,77.42857142857143
123716,66.0,100.0,80.36363636363636
123860,60.0,100.0,77.9090909090909
123957,47.0,69.0,61.857142857142854
124006,37.0,80.0,66.33333333333333
124064,83.0,90.0,87.2
124134,95.0,99.0,96.25
124193,80.0,100.0,95.77777777777777
124304,87.0,94.0,90.0
124711,44.0,44.0,44.0
124728,70.0,80.0,75.0
124909,61.0,100.0,82.0
124944,80.0,100.0,91.11111111111111
125018,62.0,67.0,64.8
125055,60.0,100.0,82.66666666666667
125063,64.0,98.0,78.83333333333333
125407,48.0,100.0,71.42857142857143
125535,1.0,55.0,38.2
125777,89.0,98.0,93.5
125830,59.0,85.0,69.25
125996,71.0,91.0,78.91666666666667
126074,,,
126088,0.0,60.0,37.8
126322,65.0,100.0,84.14285714285714
126337,20.0,90.0,57.2
126394,63.0,94.0,85.1875
126395,30.0,69.0,49.0
126411,100.0,100.0,100.0
126450,69.0,91.0,81.0
126608,35.0,100.0,61.18181818181818
126713,60.0,80.0,75.5
126769,40.0,100.0,60.0
126800,1.0,95.0,68.0
126812,31.0,73.0,53.8
126912,19.0,83.0,62.42857142857143
127179,66.0,72.0,69.0
127580,49.0,91.0,77.33333333333333
127582,66.0,75.0,69.6
127642,73.0,97.0,85.58333333333333
127988,56.0,88.0,68.6
128072,67.0,67.0,67.0
128132,70.0,86.0,80.75
128142,30.0,90.0,69.125
128348,52.0,53.0,52.5
128386,65.0,100.0,88.33333333333333
128510,70.0,96.0,85.375
128656,45.0,94.0,70.4
128678,20.0,67.0,42.45454545454545
128791,52.0,68.0,60.0
128817,66.0,66.0,66.0
128889,72.0,100.0,85.0909090909091
128929,82.0,100.0,92.25
128965,59.0,74.0,68.16666666666667
128968,77.0,96.0,85.58333333333333
128971,80.0,90.0,84.5
129198,44.0,44.0,44.0
129212,60.0,100.0,82.375
129638,26.0,40.0,33.0
129878,0.0,54.0,19.666666666666668
129907,75.0,100.0,87.75
129955,76.0,85.0,81.0
129989,93.0,100.0,96.0
130003,76.0,83.0,78.8
130013,60.0,100.0,77.45454545454545
130034,70.0,87.0,78.4
130403,52.0,82.0,65.0
130409,31.0,86.0,66.83333333333333
130467,49.0,80.0,65.71428571428571
130547,47.0,71.0,58.4
130636,54.0,65.0,60.0
130658,61.0,79.0,69.9090909090909
130671,41.0,95.0,74.5
130992,70.0,89.0,77.33333333333333
131051,71.0,100.0,89.6
131145,67.0,100.0,82.78260869565217
131152,0.0,95.0,60.57142857142857
131222,54.0,100.0,79.5625
131235,31.0,43.0,37.0
131272,60.0,82.0,75.83333333333333
131314,0.0,100.0,58.57142857142857
131390,73.0,82.0,78.6
131538,73.0,94.0,82.66666666666667
131597,30.0,96.0,73.63636363636364
131609,30.0,30.0,30.0
131612,78.0,100.0,87.14285714285714
131695,46.0,46.0,46.0
131776,68.0,95.0,84.0
131820,70.0,100.0,81.66666666666667
131933,46.0,94.0,79.5
132123,83.0,96.0,89.5
132157,40.0,91.0,69.6842105263158
132401,47.0,93.0,80.6
132423,78.0,92.0,86.66666666666667
132453,34.0,96.0,68.5
132475,64.0,91.0,75.58333333333333
132477,55.0,88.0,70.0
132511,60.0,75.0,67.75
132626,43.0,100.0,72.42857142857143
132924,1.0,62.0,39.25
132932,20.0,100.0,63.42857142857143
132972,40.0,100.0,78.77777777777777
132976,62.0,75.0,67.4
133019,58.0,94.0,80.91666666666667
133068,70.0,100.0,91.88888888888889
133104,74.0,99.0,88.19047619047619
133155,83.0,100.0,93.0
133185,72.0,89.0,82.33333333333333
133322,49.0,84.0,62.0
133365,65.0,95.0,79.57142857142857
133419,89.0,89.0,89.0
133718,64.0,74.0,69.0
133748,56.0,100.0,76.0
133816,58.0,70.0,65.4
133922,73.0,85.0,78.2
134025,69.0,97.0,87.27777777777777
134123,65.0,100.0,92.11111111111111
134143,81.0,87.0,84.4
134188,60.0,97.0,76.42857142857143
134190,78.0,78.0,78.0
134212,76.0,92.0,83.75
134243,35.0,85.0,62.0
134260,68.0,98.0,84.91666666666667
134336,57.0,91.0,74.625
134563,72.0,100.0,89.0909090909091
134847,62.0,100.0,89.5
134851,50.0,90.0,74.33333333333333
134920,13.0,85.0,47.142857142857146
134982,22.0,80.0,56.4
135075,72.0,95.0,85.0
135280,82.0,100.0,91.0
135330,40.0,88.0,64.0
135385,30.0,72.0,52.42857142857143
135400,43.0,72.0,53.142857142857146
135471,78.0,88.0,84.0
135763,72.0,90.0,80.0
135792,50.0,83.0,71.0
135999,55.0,55.0,55.0
136054,0.0,85.0,70.45454545454545
136135,42.0,95.0,65.14285714285714
136335,84.0,100.0,91.85714285714286
136793,23.0,80.0,58.166666666666664
136894,53.0,85.0,67.18181818181819
136944,47.0,95.0,
137150,23.0,45.0,34.0
137281,56.0,65.0,60.5
137603,50.0,98.0,80.0
137873,72.0,87.0,80.2
137903,48.0,95.0,72.5
138204,80.0,80.0,80.0
138289,66.0,100.0,79.54545454545455
138407,1.0,80.0,49.666666666666664
138416,59.0,85.0,73.28571428571429
138704,54.0,82.0,74.14285714285714
138709,33.0,33.0,33.0
138710,5.0,100.0,66.66666666666667
138715,62.0,83.0,73.57142857142857
138861,85.0,100.0,94.33333333333333
138920,68.0,100.0,77.8
138997,23.0,56.0,36.4
139033,55.0,66.0,61.0
139190,74.0,95.0,86.08333333333333
139206,77.0,98.0,88.0
139250,79.0,100.0,92.54545454545455
139278,67.0,98.0,87.0
139329,65.0,100.0,84.0
139549,57.0,80.0,66.18181818181819
139701,86.0,93.0,88.33333333333333
139843,8.0,40.0,24.0
139949,82.0,99.0,91.33333333333333
140060,86.0,93.0,88.5
140518,92.0,92.0,92.0
140719,53.0,100.0,69.0
140807,54.0,82.0,73.14285714285714
140866,81.0,97.0,86.41666666666667
140907,69.0,94.0,79.5
141301,84.0,84.0,84.0
141355,70.0,77.0,72.6
141377,39.0,65.0,48.833333333333336
141430,76.0,95.0,84.33333333333333
141497,67.0,67.0,67.0
141506,75.0,75.0,75.0
