,index,code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,mean_clicks,sum_clicks
55,55,0,1,148993,0,5,0,3,1,0,60,1,3,3.3646209386281587,1864.0
56,56,0,1,151358,0,3,0,8,0,0,150,0,2,3.033707865168539,270.0
57,57,0,1,155550,1,3,0,0,1,0,420,0,2,3.649164677804296,1529.0
58,58,0,1,155854,0,1,0,2,1,0,60,0,2,4.156801661474558,4003.0
59,59,0,1,155984,0,0,2,7,0,0,60,0,3,3.706122448979592,908.0
60,60,0,1,157568,0,9,0,9,0,0,60,0,2,3.639896373056995,1405.0
61,61,0,1,159954,1,1,0,4,1,0,60,0,3,3.703125,1185.0
62,62,0,1,164259,1,6,0,7,0,0,60,0,2,1.9497907949790796,466.0
63,63,0,1,167906,0,12,0,4,1,0,60,0,2,2.9320388349514563,1510.0
64,64,0,1,168936,0,11,2,1,1,0,60,0,2,2.466887417218543,745.0
67,67,0,1,174782,1,0,1,9,2,0,60,0,2,3.8454047474132684,6318.0
69,69,0,1,175932,1,5,1,7,1,0,60,0,2,4.613272311212815,2016.0
70,70,0,1,175991,0,5,0,8,0,0,180,0,1,2.76,138.0
71,71,0,1,180753,1,9,0,3,0,0,120,0,2,2.344988344988345,2012.0
72,72,0,1,181316,0,9,0,8,1,0,120,0,3,3.3586206896551722,487.0
73,73,0,1,183096,0,9,0,6,0,0,60,0,2,3.610603290676417,1975.0
74,74,0,1,183947,1,3,0,1,0,0,180,0,2,2.619565217391304,964.0
75,75,0,1,184271,1,9,1,8,1,0,170,0,2,2.750524109014675,1312.0
76,76,0,1,185439,1,3,1,1,0,0,120,0,1,4.313131313131313,427.0
77,77,0,1,186149,1,6,1,3,1,0,60,0,2,3.651282051282051,2136.0
78,78,0,1,187100,1,7,0,5,1,0,60,0,0,4.454734651404786,8562.0
79,79,0,1,188278,1,12,0,7,1,0,120,0,3,3.648854961832061,1434.0
80,80,0,1,189879,1,6,0,9,0,0,120,0,2,3.486425339366516,1541.0
81,81,0,1,192183,0,9,2,9,0,0,60,0,2,4.003731343283582,3219.0
82,82,0,1,195262,1,3,0,9,0,0,60,0,3,5.411931818181818,1905.0
83,83,0,1,200860,1,3,2,5,1,0,60,0,2,1.9071428571428573,534.0
84,84,0,1,202635,0,10,0,3,0,0,60,0,3,4.774410774410774,1418.0
85,85,0,1,205350,1,9,1,8,1,0,60,0,2,2.9573712255772646,1665.0
86,86,0,1,205719,1,0,0,4,0,0,90,1,1,2.8461538461538463,333.0
87,87,0,1,227499,0,3,0,1,1,0,60,0,0,3.6592317224287485,2953.0
89,89,0,1,228082,1,3,1,6,0,0,60,0,2,1.6691176470588236,227.0
90,90,0,1,228222,1,1,2,5,0,0,60,0,2,2.680722891566265,445.0
91,91,0,1,229179,1,11,0,2,0,0,60,0,2,3.766871165644172,614.0
92,92,0,1,229361,1,1,0,5,0,0,60,0,2,3.481375358166189,1215.0
93,93,0,1,231554,1,3,0,4,0,0,240,0,2,4.227586206896552,1839.0
94,94,0,1,235507,1,12,0,9,0,0,240,0,3,2.676056338028169,190.0
95,95,0,1,236284,1,6,4,9,0,0,60,0,2,3.4857142857142858,732.0
96,96,0,1,238007,1,8,1,9,2,0,60,0,2,2.6043068640646028,1935.0
97,97,0,1,240712,1,3,1,8,0,0,80,0,2,3.0,321.0
98,98,0,1,240884,1,8,0,9,0,0,120,0,2,2.235602094240838,427.0
99,99,0,1,241649,1,0,1,9,1,0,60,0,2,3.3019197207678883,1892.0
100,100,0,1,241729,0,1,1,6,1,0,60,0,1,2.917065390749601,1829.0
101,101,0,1,242793,1,3,1,2,1,0,60,0,2,2.5019011406844105,658.0
102,102,0,1,246834,1,9,0,9,1,0,60,0,2,3.3447293447293447,1174.0
103,103,0,1,248270,1,5,2,2,0,0,90,0,2,2.6183510638297873,1969.0
104,104,0,1,255548,1,10,2,2,1,0,60,0,2,3.165644171779141,2580.0
105,105,0,1,256815,1,5,1,1,0,0,120,0,2,2.859073359073359,1481.0
106,106,0,1,258392,0,11,2,3,0,0,60,0,2,2.822742474916388,844.0
107,107,0,1,258894,0,0,2,7,1,0,60,0,2,3.6226277372262774,4963.0
108,108,0,1,260355,0,3,0,8,1,0,60,0,3,3.1791044776119404,426.0
109,109,0,1,262011,1,1,0,2,1,0,60,0,2,3.0898550724637683,1066.0
110,110,0,1,262934,0,5,0,3,1,0,60,0,2,3.3570432357043236,2407.0
111,111,0,1,268073,1,0,0,1,1,0,90,0,1,4.483240223463687,3210.0
112,112,0,1,268733,1,0,0,3,0,0,180,0,3,3.418181818181818,188.0
113,113,0,1,271251,1,6,0,8,1,0,60,0,2,5.23943661971831,3348.0
114,114,0,1,277880,0,7,0,6,0,0,60,0,3,4.2893617021276595,2016.0
115,115,0,1,279572,1,3,2,4,0,0,60,0,0,3.983164983164983,1183.0
116,116,0,1,281022,0,6,0,3,0,0,150,0,2,2.6885245901639343,492.0
117,117,0,1,281250,1,10,2,7,1,0,60,0,1,1.6883116883116882,130.0
118,118,0,1,281589,1,5,1,3,0,0,60,0,1,2.107142857142857,59.0
119,119,0,1,282821,1,9,0,3,1,0,60,0,2,4.102510460251046,1961.0
120,120,0,1,286488,1,7,0,9,1,0,60,0,2,3.683098591549296,1046.0
121,121,0,1,287548,1,0,0,9,0,0,120,0,2,3.3541666666666665,483.0
122,122,0,1,290201,1,10,0,2,0,0,60,0,2,3.5080645161290325,1740.0
123,123,0,1,290757,1,5,0,3,0,0,60,0,2,4.261437908496732,652.0
124,124,0,1,291334,1,7,0,9,1,0,60,0,0,2.78392762107504,5231.0
126,126,0,1,293699,1,1,0,7,0,0,120,0,2,1.6403508771929824,187.0
127,127,0,1,294570,1,7,1,9,2,0,60,0,2,4.052511415525114,1775.0
128,128,0,1,294594,1,7,0,9,0,0,60,0,2,3.37890625,865.0
129,129,0,1,295741,1,7,0,4,1,0,240,0,1,2.3633333333333333,709.0
130,130,0,1,296332,1,8,4,9,2,0,60,0,0,4.211350293542075,2152.0
131,131,0,1,298696,0,7,1,8,0,0,60,0,2,2.557213930348259,514.0
132,132,0,1,300398,1,11,0,3,1,0,60,0,2,3.443103448275862,1997.0
133,133,0,1,302302,0,0,0,4,0,0,60,0,1,3.109090909090909,513.0
134,134,0,1,305152,1,5,0,7,0,0,60,0,1,3.3181818181818183,146.0
135,135,0,1,305386,1,11,0,7,0,0,120,1,2,3.470108695652174,1277.0
136,136,0,1,305539,0,10,2,8,0,0,120,0,3,2.6153846153846154,68.0
137,137,0,1,306107,1,11,0,5,1,0,120,0,2,3.0652173913043477,987.0
138,138,0,1,306466,1,0,0,9,1,0,60,0,2,3.2275132275132274,1220.0
139,139,0,1,306897,0,3,0,1,0,0,60,0,2,2.4658273381294964,2742.0
140,140,0,1,307061,0,1,1,1,0,0,60,0,2,2.6957605985037407,1081.0
141,141,0,1,307866,1,11,0,7,0,0,60,0,2,3.9151193633952253,1476.0
142,142,0,1,311917,1,9,0,6,2,0,120,0,2,3.204022988505747,2230.0
143,143,0,1,312537,1,8,4,9,2,0,60,0,0,7.02016348773842,12882.0
144,144,0,1,312782,1,8,0,9,0,0,60,0,2,2.650943396226415,281.0
145,145,0,1,318933,0,0,1,8,0,0,120,0,2,2.784782608695652,1281.0
146,146,0,1,319047,0,1,0,5,0,0,60,0,2,3.4086911536471804,6589.0
147,147,0,1,321942,1,8,1,9,2,0,60,0,2,4.727144866385372,10083.0
148,148,0,1,324002,1,0,1,4,1,0,60,0,2,3.1163934426229507,1901.0
149,149,0,1,324084,0,9,0,1,1,0,60,0,2,3.9696356275303644,1961.0
150,150,0,1,324282,1,7,0,9,0,0,120,0,2,1.7972972972972974,133.0
151,151,0,1,331358,0,8,1,9,1,0,60,0,3,4.50853889943074,2376.0
152,152,0,1,332789,0,0,0,6,1,0,60,0,2,3.6941964285714284,1655.0
153,153,0,1,333059,1,6,0,2,0,0,120,0,2,2.213235294117647,301.0
154,154,0,1,333323,1,6,1,8,0,0,60,0,2,3.640449438202247,648.0
155,155,0,1,334259,0,3,0,5,0,0,150,0,1,2.721311475409836,332.0
156,156,0,1,334333,0,9,0,0,0,0,240,1,3,3.03,303.0
157,157,0,1,335764,0,7,0,2,0,0,60,0,3,3.1272229822161424,2286.0
158,158,0,1,336207,1,0,0,9,0,0,120,0,2,3.323232323232323,1316.0
159,159,0,1,339972,1,4,0,8,0,0,60,0,2,2.664,333.0
160,160,0,1,341872,1,0,2,4,0,0,180,0,1,1.7787610619469028,201.0
161,161,0,1,342007,0,11,1,7,0,0,60,0,3,3.8596491228070176,880.0
162,162,0,1,342514,1,6,2,5,2,0,60,0,2,4.3624161073825505,1950.0
163,163,0,1,342972,1,12,1,0,0,0,60,0,2,2.5944272445820435,838.0
164,164,0,1,343446,1,2,1,7,1,0,120,0,2,2.9942481511914543,3644.0
165,165,0,1,344282,1,12,0,1,0,0,60,0,1,1.2264150943396226,65.0
166,166,0,1,345068,1,0,0,6,0,0,180,1,2,2.568075117370892,547.0
167,167,0,1,345357,1,12,0,3,0,0,60,0,0,3.010854816824966,2219.0
168,168,0,1,346025,1,0,0,5,0,0,120,0,2,2.0919117647058822,569.0
169,169,0,1,346843,0,6,1,5,1,0,120,0,1,4.1,164.0
170,170,0,1,350188,1,5,1,8,1,0,60,0,2,2.4082278481012658,761.0
171,171,0,1,354858,1,8,1,9,1,0,120,0,3,4.304347826086956,198.0
172,172,0,1,357668,1,12,0,1,0,0,60,0,1,1.8863636363636365,166.0
173,173,0,1,364177,1,0,2,7,1,0,60,0,1,3.3925619834710745,821.0
174,174,0,1,365244,0,3,0,0,0,0,120,0,2,2.2109181141439205,891.0
175,175,0,1,365642,1,0,2,1,1,0,60,0,2,2.8198675496688743,2129.0
176,176,0,1,366483,1,9,1,4,0,0,60,0,2,3.002049180327869,1465.0
177,177,0,1,368194,0,9,0,5,0,0,120,1,2,2.5857988165680474,437.0
178,178,0,1,368824,1,10,1,5,1,0,120,0,1,2.3548387096774195,292.0
179,179,0,1,368963,1,12,2,0,0,0,180,0,2,3.008888888888889,677.0
181,181,0,1,376581,0,8,0,8,1,0,60,0,2,3.7208931419457736,2333.0
182,182,0,1,380953,1,1,0,8,0,0,60,0,2,2.839572192513369,1062.0
183,183,0,1,383254,1,12,0,9,0,0,120,0,2,1.9963235294117647,543.0
185,185,0,1,386952,1,12,0,7,0,0,120,0,2,2.549019607843137,910.0
186,186,0,1,388722,0,3,2,8,1,0,60,0,2,3.0225225225225225,671.0
187,187,0,1,388885,1,9,0,9,1,0,60,0,2,3.5714285714285716,875.0
188,188,0,1,390890,1,6,0,0,0,0,90,0,3,2.944700460829493,639.0
189,189,0,1,392756,1,11,0,7,0,0,120,0,1,2.1736526946107784,363.0
190,190,0,1,392931,0,5,0,5,1,0,120,0,2,3.1346555323590812,3003.0
191,191,0,1,393207,1,5,0,6,0,0,60,0,2,3.6962025316455698,876.0
192,192,0,1,396872,1,12,1,5,0,0,180,0,2,3.244299674267101,996.0
193,193,0,1,398552,1,12,2,9,0,0,240,0,1,3.6625386996904026,1183.0
194,194,0,1,401869,0,7,2,8,0,0,60,0,2,2.7130681818181817,955.0
195,195,0,1,402470,1,9,2,5,1,0,60,0,2,4.176300578034682,1445.0
196,196,0,1,404804,1,10,2,2,1,0,120,0,2,3.348684210526316,509.0
197,197,0,1,405088,1,4,0,2,0,0,120,0,2,3.393643031784841,1388.0
199,199,0,1,414117,1,12,0,5,0,0,120,0,2,2.5062111801242235,807.0
200,200,0,1,415969,1,11,1,0,1,0,90,0,3,4.575757575757576,1359.0
201,201,0,1,420087,1,6,0,4,0,0,60,1,1,2.4963503649635035,342.0
202,202,0,1,429958,0,5,0,7,0,0,60,0,2,3.288,411.0
203,203,0,1,441018,0,7,0,7,0,0,150,0,2,2.636734693877551,646.0
204,204,0,1,441888,1,3,0,2,0,0,120,0,2,2.7169117647058822,739.0
205,205,0,1,442442,1,9,1,8,0,0,120,0,3,3.4203389830508475,1009.0
206,206,0,1,444677,1,3,1,3,0,0,60,0,0,2.447731755424063,1241.0
207,207,0,1,470588,1,7,1,9,1,0,60,0,3,4.938271604938271,400.0
208,208,0,1,489455,0,9,0,2,0,0,60,0,2,3.504950495049505,2832.0
209,209,0,1,494424,0,4,0,8,0,0,60,0,1,2.761904761904762,58.0
210,210,0,1,495284,1,7,1,8,0,0,120,0,2,3.9004329004329006,901.0
211,211,0,1,498857,1,5,1,8,1,0,60,0,2,2.91812865497076,998.0
212,212,0,1,508818,1,3,0,4,0,0,120,0,2,4.12043795620438,1129.0
213,213,0,1,512460,1,7,1,9,0,0,120,0,2,2.217021276595745,521.0
214,214,0,1,544103,1,5,1,4,0,0,120,0,2,3.2605042016806722,2328.0
215,215,0,1,550383,1,7,1,6,0,0,60,0,2,3.8559322033898304,910.0
216,216,0,1,564450,1,11,1,8,0,0,120,0,1,2.5454545454545454,224.0
217,217,0,1,568601,0,6,1,3,0,0,60,0,3,5.809523809523809,488.0
218,218,0,1,572652,1,11,1,7,0,0,120,0,2,3.9,780.0
219,219,0,1,580389,1,2,1,9,0,0,120,0,2,4.022151898734177,1271.0
220,220,0,1,581129,1,0,0,3,0,0,120,0,1,2.5526315789473686,194.0
221,221,0,1,588775,1,9,0,9,0,0,120,0,2,4.077899596076168,7067.0
222,222,0,1,591774,1,8,4,9,1,0,60,0,2,2.8947368421052633,605.0
224,224,0,1,606143,1,6,4,9,1,0,60,0,1,3.147286821705426,406.0
225,225,0,1,704156,1,8,1,9,2,0,120,0,2,4.129380053908355,3064.0
226,226,0,1,705379,1,11,0,6,2,0,120,0,0,3.941707147814018,5680.0
227,227,0,1,721259,0,8,2,5,2,0,120,0,3,4.3546099290780145,1228.0
228,228,0,1,749412,1,8,2,7,2,0,60,0,2,3.404418011894647,4007.0
229,229,0,1,760729,1,11,0,6,2,0,60,0,0,3.984691088026244,7288.0
230,230,0,1,905042,0,0,0,9,1,0,60,0,2,3.4331428571428573,3004.0
231,231,0,1,949618,0,9,0,5,1,0,60,0,2,2.4275491949910553,1357.0
232,232,0,1,958987,1,5,1,4,1,0,60,0,2,3.1099744245524295,1216.0
233,233,0,1,968578,0,0,0,4,1,0,60,0,2,3.246268656716418,870.0
234,234,0,1,969076,1,9,0,8,1,0,180,0,3,2.6541554959785523,1980.0
235,235,0,1,971027,0,11,1,9,1,0,60,0,2,4.076315789473684,3098.0
236,236,0,1,978739,1,8,1,9,1,0,60,0,2,5.238845144356955,5988.0
237,237,0,1,1035023,0,3,2,3,1,0,60,0,2,3.3146853146853146,1896.0
238,238,0,1,1105478,1,6,1,8,2,0,60,0,2,3.310546875,1695.0
239,239,0,1,1352868,1,12,0,2,1,0,60,0,3,3.6839080459770117,641.0
240,240,0,1,1401935,1,11,0,7,1,0,60,0,1,2.823529411764706,240.0
241,241,0,1,1402638,0,1,1,3,1,0,60,0,2,2.935483870967742,910.0
242,242,0,1,1414443,0,12,0,1,1,0,120,0,1,4.80352644836272,1907.0
243,243,0,1,1456619,1,9,0,9,1,0,60,0,3,3.3840579710144927,467.0
244,244,0,1,1465690,1,11,1,4,1,0,120,0,2,3.4808853118712273,3460.0
245,245,0,1,1472925,0,0,2,4,1,0,60,1,1,4.082608695652174,939.0
246,246,0,1,1488959,1,3,0,7,1,0,60,0,2,4.844660194174757,3493.0
247,247,0,1,1518989,0,7,2,8,1,0,60,0,2,3.5519864750633983,4202.0
248,248,0,1,1618738,1,3,2,9,1,0,60,0,2,4.918367346938775,723.0
249,249,0,1,1620151,1,8,1,9,1,0,60,0,1,4.577981651376147,998.0
250,250,0,1,1626710,1,5,0,6,1,0,60,0,0,3.584176085663296,6025.0
251,251,0,1,1640609,1,11,0,3,1,0,60,0,2,3.531751570132589,5061.0
252,252,0,1,1686521,0,5,2,5,1,0,60,0,3,3.199004975124378,643.0
253,253,0,1,1729319,0,6,1,4,1,0,60,0,2,3.6026143790849674,2756.0
254,254,0,1,1746134,1,0,0,6,1,0,60,0,2,3.2940074906367043,1759.0
255,255,0,1,1758449,1,8,2,3,1,0,75,0,3,4.24,2756.0
256,256,0,1,1763015,0,6,0,1,1,0,60,0,3,14.0,420.0
257,257,0,1,1765788,1,7,1,7,2,0,60,0,2,4.122079439252336,7057.0
259,259,0,1,1801641,1,6,0,3,1,0,60,0,2,3.425373134328358,459.0
260,260,0,1,1847830,1,9,2,4,1,0,60,0,2,4.016019716574245,6518.0
261,261,0,1,1860318,1,9,2,4,1,0,300,1,2,4.499246987951807,5975.0
262,262,0,1,1889511,1,12,0,5,1,0,60,0,2,3.0504347826086957,1754.0
263,263,0,1,1889577,0,8,0,7,1,0,60,1,2,3.03257328990228,931.0
264,264,0,1,1894188,0,1,0,8,0,0,60,0,2,8.763265306122449,4294.0
265,265,0,1,1938355,1,8,0,9,1,0,60,0,2,3.2817133443163096,1992.0
266,266,0,1,1942396,0,0,2,4,1,0,120,1,2,2.8658536585365852,470.0
267,267,0,1,1970390,1,11,2,0,1,0,60,0,3,5.550074738415546,11139.0
268,268,0,1,1976139,1,2,2,5,1,0,120,0,2,3.4350282485875705,1216.0
269,269,0,1,2011876,0,0,0,9,0,0,60,1,2,3.343675417661098,1401.0
270,270,0,1,2012966,1,5,2,3,1,0,60,0,2,3.5067567567567566,519.0
271,271,0,1,2051699,0,9,2,7,1,0,60,0,2,3.931972789115646,1734.0
272,272,0,1,2062879,0,0,0,6,0,0,60,0,1,3.2330623306233064,2386.0
273,273,0,1,2065691,1,3,0,3,1,0,330,1,3,5.766129032258065,1430.0
274,274,0,1,2073016,0,3,2,3,1,0,60,0,3,2.580547112462006,849.0
275,275,0,1,2080474,0,8,0,9,1,0,60,0,2,3.1745152354570636,1146.0
276,276,0,1,2083877,0,11,0,0,0,0,120,0,2,2.6550387596899223,685.0
277,277,0,1,2084066,0,9,2,5,1,0,60,0,1,4.230107526881721,1967.0
278,278,0,1,2104505,1,11,2,0,1,0,60,0,2,3.5583756345177666,701.0
279,279,0,1,2122180,0,5,2,8,1,0,60,0,0,4.822927328556807,4712.0
280,280,0,1,2139353,1,3,0,5,1,0,120,0,3,2.8295964125560538,1262.0
281,281,0,1,2143752,0,8,2,7,1,0,60,0,2,5.363636363636363,1888.0
282,282,0,1,2146792,1,5,1,2,2,0,60,0,2,3.3125,2385.0
283,283,0,1,2149225,1,6,0,7,1,0,60,1,3,3.625,319.0
284,284,0,1,2153153,0,12,0,4,0,0,60,0,2,4.123020706455542,3385.0
285,285,0,1,2155014,0,11,2,8,0,0,60,1,2,4.751633986928105,1454.0
286,286,0,1,2164705,0,5,0,4,0,0,120,0,1,3.039473684210526,231.0
287,287,0,1,2171627,0,12,0,3,1,0,60,0,2,3.3819095477386933,1346.0
288,288,0,1,2182846,0,3,0,7,1,0,60,0,2,3.046999276934201,4214.0
289,289,0,1,2194100,0,0,0,5,1,0,60,0,2,3.228110599078341,1401.0
290,290,0,1,2197016,0,5,1,3,1,0,60,0,2,3.5060240963855422,1455.0
291,291,0,1,2208424,1,6,0,2,0,0,60,0,2,2.8877005347593583,1080.0
292,292,0,1,2229865,0,11,0,1,1,0,60,0,2,3.5521405049396266,3236.0
293,293,0,1,2255601,0,8,0,8,1,0,120,0,3,4.114886731391586,2543.0
294,294,0,1,2268379,0,1,0,2,0,0,60,0,2,2.7003205128205128,1685.0
295,295,0,1,2278464,1,8,2,3,1,0,60,0,2,2.765765765765766,307.0
296,296,0,1,2293923,1,8,0,9,0,0,150,0,2,2.7545454545454544,303.0
297,297,0,1,2312620,0,1,1,2,1,0,60,0,3,3.5841269841269843,1129.0
300,300,0,1,2329342,0,0,2,4,1,0,120,0,2,2.9123711340206184,565.0
301,301,0,1,2339528,0,3,2,4,0,0,60,0,0,3.825806451612903,593.0
302,302,0,1,2342426,1,12,2,2,1,0,60,0,1,3.501930501930502,1814.0
303,303,0,1,2344901,0,12,0,6,0,0,60,0,1,3.0902777777777777,445.0
305,305,0,1,2358969,0,0,0,7,0,0,180,0,3,3.518867924528302,373.0
306,306,0,1,2364471,0,6,1,9,0,0,60,1,2,3.220627802690583,7182.0
308,308,0,1,2367155,0,0,0,8,0,0,120,0,2,4.211764705882353,2148.0
309,309,0,1,2369266,0,3,2,7,1,0,60,0,2,4.470833333333333,2146.0
310,310,0,1,2376496,0,1,0,2,0,0,120,0,2,2.480132450331126,749.0
311,311,0,1,2391984,1,8,0,9,0,0,60,0,3,4.351063829787234,818.0
312,312,0,1,2411661,0,8,0,8,0,0,120,0,1,4.592,574.0
313,313,0,1,2411778,1,6,1,2,0,0,120,0,3,6.2635983263598325,1497.0
314,314,0,1,2412002,1,9,2,5,1,0,90,0,0,3.4262295081967213,3344.0
315,315,0,1,2412967,0,8,0,8,1,0,60,0,2,3.5214899713467047,2458.0
316,316,0,1,2429854,1,3,0,1,1,0,120,1,3,4.119496855345912,655.0
317,317,0,1,2437837,0,4,0,3,0,0,60,0,2,3.970414201183432,2684.0
318,318,0,1,2449878,0,1,0,3,0,0,60,0,2,2.3831417624521074,622.0
319,319,0,1,2456480,1,6,2,8,1,0,120,0,1,2.506849315068493,183.0
320,320,0,1,2457256,1,8,2,8,1,0,180,0,2,3.7905882352941176,1611.0
321,321,0,1,2458355,1,3,2,8,1,0,60,0,2,3.647212543554007,4187.0
322,322,0,1,2460080,1,6,1,9,2,0,60,0,2,4.919540229885057,3424.0
323,323,0,1,2461190,1,8,1,7,2,0,60,0,1,4.063025210084033,967.0
324,324,0,1,2469673,0,12,2,2,1,0,60,0,1,3.16969696969697,523.0
325,325,0,1,2470694,0,6,1,5,2,0,60,0,3,3.2,2176.0
326,326,0,1,2479954,1,5,0,4,0,0,60,0,2,2.503875968992248,323.0
327,327,0,1,2481901,1,10,2,8,1,0,60,0,2,3.9136546184738954,1949.0
328,328,0,1,2482700,1,8,2,9,0,0,120,0,2,3.9128329297820823,1616.0
329,329,0,1,2486127,0,0,1,9,0,0,120,0,2,2.9340277777777777,1690.0
330,330,0,1,2498700,0,5,2,4,0,0,240,0,2,3.3615023474178405,2864.0
331,331,0,1,2516503,1,7,1,4,1,0,60,0,2,2.888052681091251,3070.0
332,332,0,1,2518069,1,1,0,9,0,0,60,0,2,3.61744966442953,1617.0
333,333,0,1,2521459,0,3,2,1,0,0,60,0,2,2.9696969696969697,1078.0
334,334,0,1,2523736,1,5,0,2,2,0,120,0,2,2.06140350877193,470.0
335,335,0,1,2529279,0,5,1,6,1,0,60,0,2,3.5386904761904763,1189.0
336,336,0,1,2532302,0,0,0,8,0,0,60,0,2,3.3966480446927374,1216.0
337,337,0,1,2536991,1,8,1,9,2,0,60,0,0,2.7551020408163267,1080.0
338,338,0,1,2542724,0,11,2,4,0,0,60,0,3,3.737704918032787,228.0
340,340,0,1,2551220,0,8,2,9,0,0,60,0,2,2.6381709741550696,1327.0
341,341,0,1,2552472,0,8,1,8,1,0,120,0,3,5.580645161290323,519.0
342,342,0,1,2555340,0,8,1,9,1,0,60,0,2,4.2784200385356455,4441.0
343,343,0,1,2557283,1,12,1,8,2,0,60,0,2,4.0165929203539825,7262.0
344,344,0,1,2559575,1,9,2,3,0,0,60,0,2,2.981651376146789,650.0
345,345,0,1,2562034,1,0,0,7,0,0,60,0,2,3.701492537313433,248.0
346,346,0,1,2566163,0,8,0,8,0,0,60,0,2,3.824519230769231,1591.0
